paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",site,S1,Wazirabad barrage,,,water,Grab-composite water samples,The first sampling location was at Wazirabad barrage (S1);,"Page 3, Section 2.2",,,,,,,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",site,S2,Wazirabad Khyber Pass drain,,,water,Grab-composite water samples,"The second location was at Wazirabad Khyber Pass drain (S2),","Page 3, Section 2.2",,,,,,,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",site,S3,Delhi Gate drain,,,water,Grab-composite water samples,"the third location was at Delhi Gate drain (S3),","Page 3, Section 2.2",,,,,,,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",site,S4,Maharani Bagh drain,,,water,Grab-composite water samples,"the fourth location was at Maharani Bagh drain (S4),","Page 3, Section 2.2",,,,,,,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",site,S5,Okhla Barrage,,,water,Grab-composite water samples,and the fifth location was at Okhla Barrage (S5).,"Page 3, Section 2.2",,,,,,,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P1,Carbamazepine,Carbamazepine,298-46-4,anticonvulsant,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P2,Lorazepam,Lorazepam,856-49-1,anxiety control,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P3,Sulfamethoxazole,Sulfamethoxazole,723-46-6,antibiotic,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P4,Fluvastatin,Fluvastatin,93957-54-1,statin,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P5,Ciprofloxacin,Ciprofloxacin,85721-33-1,antibiotic,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P6,Ketoprofen,Ketoprofen,22071-15-4,NSAID,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",parameter,,,,,,,,,P7,Paracetamol,Paracetamol,103-90-2,NSAID,ng L⁻¹,,,
"Majed Alsubih, Roohul Abad Khan. (2024). Pharmaceutical Active Compounds Contamination and Seasonal-Based Ecotoxicity Assessment of the Yamuna River for the Delhi stretch. Rocznik Ochrona Środowiska, 26, 587-602.",False,"Yamuna River, Delhi, India","April (pre-monsoon), July (monsoon), and November (post-monsoon)",Thrice a year,pre-monsoon | monsoon | post-monsoon,"Supplementary tables (S5, S6, S7) mentioned in the text were not provided in the OCR, so full details for sites (e.g., coordinates) and other contextual information could not be extracted. Figure 3 legend includes 'Ibuprofen' and 'Ofloxacin' but these are not listed in Table 2 as 'Selected pharmaceuticals analysed' nor explicitly mentioned as part of the 7 PhACs in the abstract, so they were not included in the parameters list.",data_source,,,,,,,,,,,,,,,Yamuna River for the Delhi stretch,"Grab-composite water samples collected from five sites along the Yamuna River, analyzed for 7 pharmaceutical active compounds (PhACs) using LC-MS.","Page 1 (Abstract), Page 3 (Section 2.2), Page 4 (Section 2.3, 2.4)"
