paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",site,S1,"Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,water,surface water,"Yamunotri (YM), Uttarakhand (UK)","Table 1, page 2",,,,,,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",site,S2,"Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,water,surface water,"Paonta Sahib (PS), Himachal Pradesh (HP)","Table 1, page 2",,,,,,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",site,S3,"Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,water,surface water,"Wazirabad Before Drain (WBBD), Delhi","Table 1, page 2",,,,,,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",site,S4,"Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,water,surface water,"Wazirabad After Drain (WBAD), Delhi","Table 1, page 2",,,,,,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",site,S5,"Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,water,surface water,"Prayagraj (PJ), Uttar Pradesh (UP)","Table 1, page 2",,,,,,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P1,Temperature,Temp.,,Physical-Chemical,°C,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P2,pH,pH,,Physical-Chemical,,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P3,Dissolved Oxygen,DO,,Physical-Chemical,mg/L,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P4,Total Dissolved Solids,TDS,,Physical-Chemical,mg/L,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P5,Water Hardness,WH,,Physical-Chemical,mg/L,,,
"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.",False,"Yamuna River, India","April 2022, September 2022",seasonal,Pre-Monsoon (PRM) | Post-Monsoon (POM),"Site coordinates were converted from degrees, minutes, seconds to decimal degrees. Matrix and sample type were inferred from the context of the paper (water quality study of a river). CAS numbers for parameters were not provided in the paper.",parameter,,,,,,,,,P6,Nitrate,NO3,,Physical-Chemical,mg/L,,,
