Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Yamunotri (YM),,,2022,Pre-Monsoon,Temperature,8.3 ± 0.53,8.3,0.53,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
2,Yamunotri (YM),,,2022,Pre-Monsoon,pH,7.27±0.25,7.27,0.25,,"Table 4, page 6",Mean ± standard deviation as reported in table.
3,Yamunotri (YM),,,2022,Pre-Monsoon,Dissolved Oxygen,9.62 ± 0.83,9.62,0.83,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
4,Yamunotri (YM),,,2022,Pre-Monsoon,Total Dissolved Solids,90.5 ± 1.4,90.5,1.4,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
5,Yamunotri (YM),,,2022,Pre-Monsoon,Water Hardness,83.83 ±0.76,83.83,0.76,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
6,Yamunotri (YM),,,2022,Pre-Monsoon,Nitrate,2.25 ± 0.44,2.25,0.44,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
7,Yamunotri (YM),,,2022,Pre-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
8,Yamunotri (YM),,,2022,Pre-Monsoon,Ammonia,0.27 ± 0.03,0.27,0.03,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
9,Yamunotri (YM),,,2022,Post-Monsoon,Temperature,13 ± 1,13.0,1.0,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
10,Yamunotri (YM),,,2022,Post-Monsoon,pH,7.17 ± 0.15,7.17,0.15,,"Table 4, page 6",Mean ± standard deviation as reported in table.
11,Yamunotri (YM),,,2022,Post-Monsoon,Dissolved Oxygen,8.52 ± 0.05,8.52,0.05,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
12,Yamunotri (YM),,,2022,Post-Monsoon,Total Dissolved Solids,102.2 ± 1.81,102.2,1.81,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
13,Yamunotri (YM),,,2022,Post-Monsoon,Water Hardness,95.33 ± 0.58,95.33,0.58,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
14,Yamunotri (YM),,,2022,Post-Monsoon,Nitrate,4.67 ± 0.58,4.67,0.58,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
15,Yamunotri (YM),,,2022,Post-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
16,Yamunotri (YM),,,2022,Post-Monsoon,Ammonia,0.13 ± 0.02,0.13,0.02,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
17,Paonta Sahib (PS),,,2022,Pre-Monsoon,Temperature,25.3 ± 0.57,25.3,0.57,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
18,Paonta Sahib (PS),,,2022,Pre-Monsoon,pH,7.37 ± 0.15,7.37,0.15,,"Table 4, page 6",Mean ± standard deviation as reported in table.
19,Paonta Sahib (PS),,,2022,Pre-Monsoon,Dissolved Oxygen,8.53 ± 0.35,8.53,0.35,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
20,Paonta Sahib (PS),,,2022,Pre-Monsoon,Total Dissolved Solids,204.3 ± 2.53,204.3,2.53,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
21,Paonta Sahib (PS),,,2022,Pre-Monsoon,Water Hardness,106.7 ± 0.65,106.7,0.65,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
22,Paonta Sahib (PS),,,2022,Pre-Monsoon,Nitrate,8.83 ± 0.77,8.83,0.77,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
23,Paonta Sahib (PS),,,2022,Pre-Monsoon,Nitrite,0,0.0,,mg/L,"Table 4, page 6","Value reported as 0, standard deviation not provided."
24,Paonta Sahib (PS),,,2022,Pre-Monsoon,Ammonia,0.27 ± 0.03,0.27,0.03,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
25,Paonta Sahib (PS),,,2022,Post-Monsoon,Temperature,25 ± 0,25.0,0.0,°C,"Table 4, page 6",Mean ± standard deviation as reported in table.
26,Paonta Sahib (PS),,,2022,Post-Monsoon,pH,8.03 ± 0.06,8.03,0.06,,"Table 4, page 6",Mean ± standard deviation as reported in table.
27,Paonta Sahib (PS),,,2022,Post-Monsoon,Dissolved Oxygen,7.53 ± 0.06,7.53,0.06,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
28,Paonta Sahib (PS),,,2022,Post-Monsoon,Total Dissolved Solids,125.6 ± 4.01,125.6,4.01,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
29,Paonta Sahib (PS),,,2022,Post-Monsoon,Water Hardness,103 ±1,103.0,1.0,mg/L,"Table 4, page 6",Mean ± standard deviation as reported in table.
