paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y1,"Dakpatthar, located in the lower Himalayas, the most upstream sampling point with a sparse population, close to the origin of Yamuna.",,,Surface water,Grab sample,The first sampling point Dakpatthar (Y-1) is situated close to the origin of Yamuna at the lower Himalayas with a sparse population.,Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y2,"Hindon river, a tributary of Yamuna, which is a rainfed river joining Yamuna in the outskirts of southern Delhi.",,,Surface water,Grab sample,Water samples were also collected from Hindon river (Y-2) and Hindon canal (Y-3) which act as the tributaries of Yamuna.,Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y3,"Hindon canal, a tributary of Yamuna, branching from Hindon river and joining Yamuna in Delhi.",,,Surface water,Grab sample,Water samples were also collected from Hindon river (Y-2) and Hindon canal (Y-3) which act as the tributaries of Yamuna.,Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y4,"Nizamuddin Bridge, located in Delhi, downstream of the confluence points of major and minor drains with Yamuna.",,,Surface water,Grab sample,"After Y-1, the next three sites were selected in and around the capital, Delhi, including Nizamuddin bridge (Y-4), Okhla barrage (Y-5) and down-stream of Yamuna-Shahadara drain confluence (Y-6).",Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y5,"Okhla Barrage, located in Delhi, where domestic and industrial waste from Gaziabad city flows into the Yamuna.",,,Surface water,Grab sample,"After Y-1, the next three sites were selected in and around the capital, Delhi, including Nizamuddin bridge (Y-4), Okhla barrage (Y-5) and down-stream of Yamuna-Shahadara drain confluence (Y-6).",Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y6,"Downstream of Shahadara drain & Yamuna Confluence, approximately 1 km downstream of Shahadara drain, which brings BOD load from industrial townships of Delhi.",,,Surface water,Grab sample,"After Y-1, the next three sites were selected in and around the capital, Delhi, including Nizamuddin bridge (Y-4), Okhla barrage (Y-5) and down-stream of Yamuna-Shahadara drain confluence (Y-6).",Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y7,"Upstream of Mathura, a town with approximate 442 thousand population.",,,Surface water,Grab sample,samples were collected upstream (Y-7) and downstream of Mathura (Y-8).,Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y8,Downstream of Mathura.,,,Surface water,Grab sample,samples were collected upstream (Y-7) and downstream of Mathura (Y-8).,Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y9,"Upstream of Agra city, a town with approximately 1.59 million population and a tourist hotspot.",,,Surface water,Grab sample,"Samples upstream of Agra (Y-9), Agra city near Taj Mahal (Y-10) and down-stream of Agra (Y-11) were collected.",Page 3,,,,,,,,,
"Biswas, P., & Vellanki, B. P. (2021). Occurrence of emerging contaminants in highly anthropogenically influenced river Yamuna in India. Science of the Total Environment, 782, 146741.",False,"River Yamuna in Northern India, including its tributaries Hindon river and Hindon canal. Specific locations include Dakpatthar, Delhi (Nizamuddin bridge, Okhla barrage, D/S Shahadara drain & Yamuna Confluence), Mathura (U/S and D/S), Agra (U/S, near Taj Mahal, D/S), and Etawah (U/S and D/S).","Summer sampling was conducted in May, and post-monsoon sampling was conducted in September.",Seasonal,Summer | Post-monsoon,"CAS numbers and supplier information for the standards used in this study are provided in supplementary information (S-1). The method for solid phase extraction is detailed in supplementary information (S-5). The methods used for HPLC-MS and UPLC-QToF analysis, along with Method Detection Limits (MDL) and Method Quantification Limits (MQL), are given in supplementary information (S-6).",site,Y10,Agra city near Taj Mahal.,,,Surface water,Grab sample,"Samples upstream of Agra (Y-9), Agra city near Taj Mahal (Y-10) and down-stream of Agra (Y-11) were collected.",Page 3,,,,,,,,,
