paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S1,"Paonta, an upstream monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S2,"Kalanaur, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S3,"Mawi, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S4,"Palla, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S5,"Delhi, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S6,"Mohana, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S7,"Mathura, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S8,"Agra, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S9,"Etawah, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
"Jaiswal, M., Hussain, J., Gupta, S.K. et al. Comprehensive evaluation of water quality status for entire stretch of Yamuna River, India. Environ Monit Assess 191, 208 (2019). https://doi.org/10.1007/s10661-019-7312-8",False,"Yamuna River, India, covering seven states including National Capital Territory (NCT) of Delhi",2014–2015,seasonal,monsoon (July to October) | non-monsoon (November to June),"Latitude and longitude for the sampling sites are mentioned to be in a supplementary file (Table S1), which was not accessible for extraction. The unit for Temperature (°C) is inferred from the text, not explicitly stated in Table 1. The unit for Electrical Conductivity (EC) is reported as 'µ/cm' in Table 1 but 'µS/cm' in the text (Page 7); 'µS/cm' was chosen for standardization. Units for Total Alkalinity, Total Hardness, Calcium Hardness, and Magnesium Hardness are specified 'as CaCO3' in the footnote of Table 1.",site,S10,"Auraiya, a monitoring station on the Yamuna River",,,water,Grab sample,"The monitoring stations used to cover the entire Yamuna stretch were Paonta, Kalanaur, Mawi, Palla, Delhi, Mohana, Mathura, Agra, Etawah, Auraiya, Hamirpur, and Pratappur.","Page 3, 'Sampling sites and sample collection' section",,,,,,,,,
