Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Palla,,,,,Dissolved oxygen,9.1 mg/L,,,mg/L,"Page 5, text",Maximum concentration over 2000-2005 | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
2,Palla,,,,,Dissolved oxygen,6.6 mg/L,,,mg/L,"Page 5, text",Minimum concentration over 2000-2005 | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON.
3,Palla,,DEC,,,Dissolved oxygen,8.5,8.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
4,Palla,,JAN,,,Dissolved oxygen,8.5,8.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
5,Palla,,FEB,,,Dissolved oxygen,8.0,8.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
6,Palla,,MAR,,,Dissolved oxygen,7.5,7.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
7,Palla,,APR,,,Dissolved oxygen,7.0,7.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
8,Palla,,MAY,,,Dissolved oxygen,6.8,6.8,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
9,Palla,,JUN,,,Dissolved oxygen,7.5,7.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
10,Palla,,JUL,,,Dissolved oxygen,8.0,8.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
11,Palla,,AUG,,,Dissolved oxygen,8.5,8.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
12,Palla,,SEP,,,Dissolved oxygen,9.0,9.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
13,Palla,,OCT,,,Dissolved oxygen,8.5,8.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
14,Palla,,NOV,,,Dissolved oxygen,8.0,8.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
15,Nizamuddin Midstream,,DEC,,,Dissolved oxygen,5.0,5.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
16,Nizamuddin Midstream,,JAN,,,Dissolved oxygen,5.0,5.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
17,Nizamuddin Midstream,,FEB,,,Dissolved oxygen,5.0,5.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
18,Nizamuddin Midstream,,MAR,,,Dissolved oxygen,4.5,4.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
19,Nizamuddin Midstream,,APR,,,Dissolved oxygen,4.0,4.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
20,Nizamuddin Midstream,,MAY,,,Dissolved oxygen,3.5,3.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
21,Nizamuddin Midstream,,JUN,,,Dissolved oxygen,2.5,2.5,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
22,Nizamuddin Midstream,,JUL,,,Dissolved oxygen,2.0,2.0,,mg/L,Fig. 3,"Average monthly value over 2000-2005, estimated from figure | issues: None: Recovered completed measurement records from a model response that ended with invalid JSON."
