measurement_id,paper_citation,original_source_citation,source_location,site_description,latitude,longitude,parameter_name,cas_number,category,matrix,sample_type,time_period,time_granularity,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,notes
34,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Ammonia,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.27,0.03,,,,site-season mean,,,mg/L,source_quote: 0.27 ± 0.03
42,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Ammonia,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,0.13,0.02,,,,site-season mean,,,mg/L,source_quote: 0.13 ± 0.02
50,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Ammonia,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.27,0.03,,,,site-season mean,,,mg/L,source_quote: 0.27 ± 0.03
58,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Ammonia,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,0.127,0.01,,,,site-season mean,,,mg/L,source_quote: 0.127 ± 0.01
66,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Ammonia,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.36,0.13,,,,site-season mean,,,mg/L,source_quote: 0.36 ± 0.13
74,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Ammonia,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,0.24,0.03,,,,site-season mean,,,mg/L,source_quote: 0.24 ± 0.03
82,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Ammonia,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,7.5,0.5,,,,site-season mean,,,mg/L,source_quote: 7.5 ± 0.5
90,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Ammonia,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,9.0,1.0,,,,site-season mean,,,mg/L,source_quote: 9±1
98,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Ammonia,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,0.47,0.06,,,,site-season mean,,,mg/L,source_quote: 0.47 ± 0.06
106,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Ammonia,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,0.53,0.1,,,,site-season mean,,,mg/L,source_quote: 0.53 ± 0.1
29,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Dissolved Oxygen,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,9.62,0.83,,,,site-season mean,,,mg/L,source_quote: 9.62 ± 0.83
37,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Dissolved Oxygen,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,8.52,0.05,,,,site-season mean,,,mg/L,source_quote: 8.52 ± 0.05
45,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Dissolved Oxygen,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,8.53,0.35,,,,site-season mean,,,mg/L,source_quote: 8.53 ± 0.35
53,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Paonta Sahib (PS), Himachal Pradesh (HP)",30.43,77.6275,Dissolved Oxygen,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,7.53,0.06,,,,site-season mean,,,mg/L,source_quote: 7.53 ± 0.06
61,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Dissolved Oxygen,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,3.7,0.26,,,,site-season mean,,,mg/L,source_quote: 3.7 ± 0.26
69,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad Before Drain (WBBD), Delhi",28.708889,77.230556,Dissolved Oxygen,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,5.24,0.32,,,,site-season mean,,,mg/L,source_quote: 5.24 ± 0.32
77,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Dissolved Oxygen,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,3.0,0.1,,,,site-season mean,,,mg/L,source_quote: 3 ± 0.1
85,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Wazirabad After Drain (WBAD), Delhi",28.663333,77.24,Dissolved Oxygen,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,3.6,0.1,,,,site-season mean,,,mg/L,source_quote: 3.6 ± 0.1
93,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Dissolved Oxygen,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,4.17,0.31,,,,site-season mean,,,mg/L,source_quote: 4.17 ± 0.31
101,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Prayagraj (PJ), Uttar Pradesh (UP)",25.428333,81.861667,Dissolved Oxygen,,Physical-Chemical,water,surface water,Post-Monsoon (POM),seasonal,,4.8,0.2,,,,site-season mean,,,mg/L,source_quote: 4.8 ± 0.2
32,"Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Antil, S., Maurya, S., Dagar, J., Bhagat, P., Makhija, S., & Toteja, R. (2025). Insights into Water Quality of River Yamuna, India: A Comprehensive Spatial-Temporal Analysis Using Advanced Indices and Multivariate Statistical Techniques. Water Resources, 52(4), 807-829.","Table 4, page 6","Yamunotri (YM), Uttarakhand (UK)",30.975833,78.438333,Nitrate,,Physical-Chemical,water,surface water,Pre-Monsoon (PRM),seasonal,,2.25,0.44,,,,site-season mean,,,mg/L,source_quote: 2.25 ± 0.44
