paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S1,"Rural agricultural location in village Jagatpur, remote to urban Delhi, relatively unpolluted.",,,river water,grab water samples,L1 and L2 which are rural agricultural locations in the village Jagatpur lie remote to urban Delhi and are relatively unpolluted. The water quality at these locations seemed to be fairly better as compared to those lying downstream to them.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S2,"Rural agricultural location in village Jagatpur, remote to urban Delhi, relatively unpolluted.",,,river water,grab water samples,L1 and L2 which are rural agricultural locations in the village Jagatpur lie remote to urban Delhi and are relatively unpolluted. The water quality at these locations seemed to be fairly better as compared to those lying downstream to them.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S3,Urban location lying downwind to the Narela industrial area.,,,river water,grab water samples,L3 and L4 are urban locations lying downwind to the Narela industrial area.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S4,Urban location lying downwind to the Narela industrial area.,,,river water,grab water samples,L3 and L4 are urban locations lying downwind to the Narela industrial area.,"Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S5,"Urban industrial location receiving discharges from the Najafgarh drain and the supplementary drain, located downwind to industrial areas such as Alipur, Badli and Bawana.",,,river water,grab water samples,"L5 and L6 are urban industrial locations which receive discharges from the Najafgarh drain and the supplementary drain. These are located downwind to a number of industrial areas such as Alipur, Badli and Bawana.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S6,"Urban industrial location receiving discharges from the Najafgarh drain and the supplementary drain, located downwind to industrial areas such as Alipur, Badli and Bawana.",,,river water,grab water samples,"L5 and L6 are urban industrial locations which receive discharges from the Najafgarh drain and the supplementary drain. These are located downwind to a number of industrial areas such as Alipur, Badli and Bawana.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S7,"Urban agricultural location fed by sewage, drains and by-products of Rajghat power plant, located upwind and downwind to industrial areas scattered from north to west of the megacity.",,,river water,grab water samples,"L7, L8 and L9 are urban agricultural locations. They are fed by sewage, drains and by-products of Rajghat power plant, which is also located upwind. These also lie downwind to a number of industrial areas scattered from north to west of the megacity.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S8,"Urban agricultural location fed by sewage, drains and by-products of Rajghat power plant, located upwind and downwind to industrial areas scattered from north to west of the megacity.",,,river water,grab water samples,"L7, L8 and L9 are urban agricultural locations. They are fed by sewage, drains and by-products of Rajghat power plant, which is also located upwind. These also lie downwind to a number of industrial areas scattered from north to west of the megacity.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S9,"Urban agricultural location fed by sewage, drains and by-products of Rajghat power plant, located upwind and downwind to industrial areas scattered from north to west of the megacity. Lies downstream to many drains and the Indraprastha power plant, discharging effluents from its ash pond into the river. Marked by high traffic.",,,river water,grab water samples,"L7, L8 and L9 are urban agricultural locations. They are fed by sewage, drains and by-products of Rajghat power plant, which is also located upwind. These also lie downwind to a number of industrial areas scattered from north to west of the megacity. L10 lies downstream to many drains and the Indraprastha power plant, which also discharges the effluents from its ash pond into the river. This location is marked by high traffic in the busy roads surrounding it.","Page 4, Study area and sampling locations section",,,,,,,,,
"Parween, M., Ramanathan, A. L., & Raju, N. J. (2017). Waste water management and water quality of river Yamuna in the megacity of Delhi. International Journal of Environmental Science and Technology, 14(10), 2109-2124.",False,"Delhi stretch of river Yamuna, India",February 2013,single event,2013,"The unit reporting in Table 1 is ambiguous. The table header states 'Ions and trace metal concentration in river Yamuna, Delhi (ppm)', but a footnote clarifies '* Concentrations in ppb; EC in µS/cm, ORP in mV, TDS in mg/l'. Based on the values and discussion in the abstract and text, it is inferred that Na, K, Ca, Mg, Fe, F-, Cl-, NO3-, SO42-, HCO3-, PO43- are reported in ppm, while Al, Cu, Cr, Co, Cd, Pb, Mn, Ni, Zn are reported in ppb. This interpretation aligns with the abstract's statement about heavy metal concentrations being 'manifold higher' than acceptable limits, which would not be true if Fe, for example, was in ppb.",site,S10,"Lies downstream to many drains and the Indraprastha power plant, discharging effluents from its ash pond into the river. Marked by high traffic.",,,river water,grab water samples,"L10 lies downstream to many drains and the Indraprastha power plant, which also discharges the effluents from its ash pond into the river. This location is marked by high traffic in the busy roads surrounding it.","Page 4, Study area and sampling locations section",,,,,,,,,
