Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,L1 (village Jagatpur),,February,2013,,Sodium,20.7,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
2,L1 (village Jagatpur),,February,2013,,Potassium,11.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
3,L1 (village Jagatpur),,February,2013,,Calcium,54.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
4,L1 (village Jagatpur),,February,2013,,Magnesium,22.7,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
5,L1 (village Jagatpur),,February,2013,,Iron,2.5,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
6,L1 (village Jagatpur),,February,2013,,Aluminum,473,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
7,L1 (village Jagatpur),,February,2013,,Copper,83,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
8,L1 (village Jagatpur),,February,2013,,Chromium,100,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
9,L1 (village Jagatpur),,February,2013,,Cobalt,34,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
10,L1 (village Jagatpur),,February,2013,,Cadmium,11,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
11,L1 (village Jagatpur),,February,2013,,Lead,202,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
12,L1 (village Jagatpur),,February,2013,,Manganese,228,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
13,L1 (village Jagatpur),,February,2013,,Nickel,254,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
14,L1 (village Jagatpur),,February,2013,,Zinc,207,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
15,L1 (village Jagatpur),,February,2013,,Fluoride,336,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
16,L1 (village Jagatpur),,February,2013,,Chloride,47.7,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
17,L1 (village Jagatpur),,February,2013,,Nitrate,2.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
18,L1 (village Jagatpur),,February,2013,,Sulfate,42.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
19,L1 (village Jagatpur),,February,2013,,Bicarbonate,161.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
20,L1 (village Jagatpur),,February,2013,,Phosphate,0.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
21,L1 (village Jagatpur),,February,2013,,pH,8.1,,,,Table 1,Value from Table 1.
22,L1 (village Jagatpur),,February,2013,,Electrical Conductivity,557,,,µS/cm,Table 1,Value from Table 1. Unit inferred from table footnote.
23,L1 (village Jagatpur),,February,2013,,Total Dissolved Solids,388,,,mg/l,Table 1,Value from Table 1. Unit inferred from table footnote.
24,L1 (village Jagatpur),,February,2013,,Oxidation-Reduction Potential,240.0,,,mV,Table 1,Value from Table 1. Unit inferred from table footnote.
25,L2 (village Jagatpur),,February,2013,,Sodium,38.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
26,L2 (village Jagatpur),,February,2013,,Potassium,13.2,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
27,L2 (village Jagatpur),,February,2013,,Calcium,38.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
28,L2 (village Jagatpur),,February,2013,,Magnesium,32.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
29,L2 (village Jagatpur),,February,2013,,Iron,2.9,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
30,L2 (village Jagatpur),,February,2013,,Aluminum,564,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
31,L2 (village Jagatpur),,February,2013,,Copper,121,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
32,L2 (village Jagatpur),,February,2013,,Chromium,80,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
33,L2 (village Jagatpur),,February,2013,,Cobalt,25,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
34,L2 (village Jagatpur),,February,2013,,Cadmium,37,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
35,L2 (village Jagatpur),,February,2013,,Lead,306,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
36,L2 (village Jagatpur),,February,2013,,Manganese,242,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
37,L2 (village Jagatpur),,February,2013,,Nickel,168,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
38,L2 (village Jagatpur),,February,2013,,Zinc,212,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
39,L2 (village Jagatpur),,February,2013,,Fluoride,308,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
40,L2 (village Jagatpur),,February,2013,,Chloride,57.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
41,L2 (village Jagatpur),,February,2013,,Nitrate,2.9,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
42,L2 (village Jagatpur),,February,2013,,Sulfate,30.3,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
43,L2 (village Jagatpur),,February,2013,,Bicarbonate,186.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
44,L2 (village Jagatpur),,February,2013,,Phosphate,0.2,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
45,L2 (village Jagatpur),,February,2013,,pH,8.1,,,,Table 1,Value from Table 1.
46,L2 (village Jagatpur),,February,2013,,Electrical Conductivity,686,,,µS/cm,Table 1,Value from Table 1. Unit inferred from table footnote.
47,L2 (village Jagatpur),,February,2013,,Total Dissolved Solids,446,,,mg/l,Table 1,Value from Table 1. Unit inferred from table footnote.
48,L2 (village Jagatpur),,February,2013,,Oxidation-Reduction Potential,238.0,,,mV,Table 1,Value from Table 1. Unit inferred from table footnote.
49,L3 (downwind to Narela industrial area),,February,2013,,Sodium,35.2,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
50,L3 (downwind to Narela industrial area),,February,2013,,Potassium,6.0,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
51,L3 (downwind to Narela industrial area),,February,2013,,Calcium,45.2,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
52,L3 (downwind to Narela industrial area),,February,2013,,Magnesium,37.3,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
53,L3 (downwind to Narela industrial area),,February,2013,,Iron,3.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
54,L3 (downwind to Narela industrial area),,February,2013,,Aluminum,523,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
55,L3 (downwind to Narela industrial area),,February,2013,,Copper,93,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
56,L3 (downwind to Narela industrial area),,February,2013,,Chromium,70,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
57,L3 (downwind to Narela industrial area),,February,2013,,Cobalt,40,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
58,L3 (downwind to Narela industrial area),,February,2013,,Cadmium,53,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
59,L3 (downwind to Narela industrial area),,February,2013,,Lead,316,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
60,L3 (downwind to Narela industrial area),,February,2013,,Manganese,286,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
61,L3 (downwind to Narela industrial area),,February,2013,,Nickel,192,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
62,L3 (downwind to Narela industrial area),,February,2013,,Zinc,247,,,ppb,Table 1,Value from Table 1. Unit inferred from table footnote (* Concentrations in ppb).
63,L3 (downwind to Narela industrial area),,February,2013,,Fluoride,448,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
64,L3 (downwind to Narela industrial area),,February,2013,,Chloride,95.9,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
65,L3 (downwind to Narela industrial area),,February,2013,,Nitrate,1.6,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
66,L3 (downwind to Narela industrial area),,February,2013,,Sulfate,56.3,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
67,L3 (downwind to Narela industrial area),,February,2013,,Bicarbonate,206.4,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
68,L3 (downwind to Narela industrial area),,February,2013,,Phosphate,0.2,,,ppm,Table 1,Value from Table 1. Unit inferred from table footnote.
