paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S1,CGHS Colony Vasant Vihar,28.55305,77.1648,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S2,"Block A2, Safdarjung Enclave",28.56851,77.1896,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S3,"Block A-25, Nauroji Nagar",28.56942,77.1979,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S4,"Block E, Saomi Nagar South Ext.",28.54168,77.2264,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S5,"PSRI Hospital, Malviya Nagar",28.53212,77.2249,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S6,"Archana Arcd, Greater Kailash",28.5533,77.2299,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S7,Rishi Nagar Extin,28.57526,77.2186,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S8,Sewa Nagar,28.57959,77.2236,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S9,"Block C, Lajpat Nagar",28.57976,77.2365,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S10,Hanuman Mandir Nizamuddin,28.58694,77.2477,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S11,Masala Mix (Iit Delhi),28.54591,77.1871,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S12,Kailash Hostal(Iit Delhi_),28.5445,77.1959,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S13,Govt. Quarter Pushp Vihar,28.52784,77.2256,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S14,Saket Dist. Centre,28.52577,77.2163,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S15,Ambedkar Marg Pushp Vihar,28.51824,77.2255,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
"Samui, S., Mallik, A., Kumar, D., Rao, S., Dhanya, C. T., & Gosain, A. K. (2025). Identifying the pollution sources of River Yamuna through field observations and participatory approach. J. Earth Syst. Sci., 134(41). https://doi.org/10.1007/s12040-024-02498-7",False,"National Capital Territory (NCT) of Delhi, India, specifically the Barapullah drainage basin","non-monsoon period from January to May 2022, mostly collected in the peak hours in the morning (9 am-12 pm)",One-time sampling for 43 locations; twice for 13 hotspot locations,January 2022 - May 2022,"Only Biochemical Oxygen Demand (BOD) values were reported in the results, although Total Organic Carbon (TOC) and Chemical Oxygen Demand (COD) were mentioned as crucial indicators. The source_quote for sites is a general statement about their selection, as specific quotes about the site description itself were not consistently available for all 43 sites, only for pollution sources in hotspots.",site,S16,Sec-5 Pushp Vihar,28.52087,77.2248,Water,Sewage/Wastewater,43 monitoring locations (S1-S43) are selected based on the physical accessibility of the drains. The geographic coordinates and details of all the 43 locations are mentioned in table 1.,"Table 1, Page 5",,,,,,,,,
