Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,"Arjun Nagar, Ansari Nagar",,,2022,Non-monsoon,Biochemical Oxygen Demand,430 mg/L,430.0,,mg/L,"Figure 2, Figure 3(b), Text (page 6, 8)",Value reported in text and figures. Re-sampled in second phase.
2,Block D Sangam Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,235 mg/L,235.0,,mg/L,"Figure 2, Figure 3(b), Text (page 6, 9)",Value reported in text and figures. Re-sampled in second phase.
3,Ambedkar Nagar I,,,2022,Non-monsoon,Biochemical Oxygen Demand,200 mg/L,200.0,,mg/L,"Figure 2, Figure 3(b), Text (page 6, 9)",Value reported in text and figures. Re-sampled in second phase.
4,Devli Sangam Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,188 mg/L,188.0,,mg/L,"Figure 2, Figure 3(b), Text (page 6, 9)","Value reported in text and figures. Re-sampled in second phase. Text on page 9 incorrectly refers to S25 for this value, but figures and page 6 text confirm S21."
5,Mudirka Marg RK Puram,,,2022,Non-monsoon,Biochemical Oxygen Demand,188 mg/L,188.0,,mg/L,"Figure 2, Figure 3(b), Text (page 10)",Value reported in text and figures. Re-sampled in second phase.
6,"PSRI Hospital, Malviya Nagar",,,2022,Non-monsoon,Biochemical Oxygen Demand,180 mg/L,180.0,,mg/L,"Figure 2, Figure 3(b), Text (page 11)",Value reported in text and figures. Re-sampled in second phase.
7,Sheikh Sarai Village,,,2022,Non-monsoon,Biochemical Oxygen Demand,175 mg/L,175.0,,mg/L,"Figure 2, Figure 3(b), Text (page 11)",Value reported in text and figures. Re-sampled in second phase.
8,Ekta Vihar RK Puram,,,2022,Non-monsoon,Biochemical Oxygen Demand,170 mg/L,170.0,,mg/L,"Figure 2, Figure 3(b), Text (page 10)",Value reported in text and figures. Re-sampled in second phase.
9,Ambedkar Marg Pushp Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,167 mg/L,167.0,,mg/L,"Figure 2, Figure 3(b), Text (page 12)",Value reported in text and figures. Re-sampled in second phase.
10,"L2-Block, Devli Sangam Vihar",,,2022,Non-monsoon,Biochemical Oxygen Demand,167 mg/L,167.0,,mg/L,"Figure 2, Figure 3(b), Text (page 10)",Value reported in text and figures. Re-sampled in second phase.
11,Sec-5 Pushp Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,162 mg/L,162.0,,mg/L,"Figure 2, Figure 3(b), Text (page 12)",Value reported in text and figures. Re-sampled in second phase.
12,Sewa Nagar,,,2022,Non-monsoon,Biochemical Oxygen Demand,150 mg/L,150.0,,mg/L,"Figure 2, Figure 3(b), Text (page 12)","Value reported in text and figures. Re-sampled in second phase. Text on page 8 states all 13 hotspots had BOD > 150 mg/L, which is inconsistent with this value."
13,Sector 3 RK Puram,,,2022,Non-monsoon,Biochemical Oxygen Demand,166 mg/L,166.0,,mg/L,"Figure 2, Figure 3(b), Text (page 10)",Value reported in text and figures. Re-sampled in second phase.
14,Block A Vasant Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,148 mg/L,148.0,,mg/L,Figure 2,Approximate value read from Figure 2.
15,"Block A-25, Nauroji Nagar",,,2022,Non-monsoon,Biochemical Oxygen Demand,140 mg/L,140.0,,mg/L,Figure 2,Approximate value read from Figure 2.
16,Rishi Nagar Extin,,,2022,Non-monsoon,Biochemical Oxygen Demand,139 mg/L,139.0,,mg/L,Figure 2,Approximate value read from Figure 2.
17,"Block E, Saomi Nagar South Ext.",,,2022,Non-monsoon,Biochemical Oxygen Demand,138 mg/L,138.0,,mg/L,Figure 2,Approximate value read from Figure 2.
18,Adrash Colony RK Puram,,,2022,Non-monsoon,Biochemical Oxygen Demand,134 mg/L,134.0,,mg/L,Figure 2,Approximate value read from Figure 2.
19,CGHS Colony Vasant Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,130 mg/L,130.0,,mg/L,Figure 2,Approximate value read from Figure 2. First measurement for S1 in Figure 2.
20,Govt. Quarter Pushp Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,119 mg/L,119.0,,mg/L,Figure 2,"Approximate value read from Figure 2. This location was re-sampled in the second phase, but its value (119 mg/L) is not >150 mg/L, contradicting text on page 8."
21,Sarai Kale Khan,,,2022,Non-monsoon,Biochemical Oxygen Demand,118 mg/L,118.0,,mg/L,Figure 2,Approximate value read from Figure 2.
22,Teen Murti Marg,,,2022,Non-monsoon,Biochemical Oxygen Demand,112 mg/L,112.0,,mg/L,Figure 2,Approximate value read from Figure 2.
23,Ambedkar Nagar II,,,2022,Non-monsoon,Biochemical Oxygen Demand,110 mg/L,110.0,,mg/L,Figure 2,Approximate value read from Figure 2.
24,Mahatma Gandhi Andrewsganj,,,2022,Non-monsoon,Biochemical Oxygen Demand,109 mg/L,109.0,,mg/L,Figure 2,Approximate value read from Figure 2.
25,Andrewsganj Delhi,,,2022,Non-monsoon,Biochemical Oxygen Demand,108 mg/L,108.0,,mg/L,Figure 2,Approximate value read from Figure 2.
26,Jangpura Pant Nagar,,,2022,Non-monsoon,Biochemical Oxygen Demand,107 mg/L,107.0,,mg/L,Figure 2,Approximate value read from Figure 2.
27,Basant Lok Vasant Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,106 mg/L,106.0,,mg/L,Figure 2,Approximate value read from Figure 2.
28,"Block A2, Safdarjung Enclave",,,2022,Non-monsoon,Biochemical Oxygen Demand,105 mg/L,105.0,,mg/L,Figure 2,Approximate value read from Figure 2.
29,Saket Dist. Centre,,,2022,Non-monsoon,Biochemical Oxygen Demand,104 mg/L,104.0,,mg/L,Figure 2,Approximate value read from Figure 2.
30,Jangpura Bhogal,,,2022,Non-monsoon,Biochemical Oxygen Demand,102 mg/L,102.0,,mg/L,Figure 2,Approximate value read from Figure 2.
31,"Archana Arcd, Greater Kailash",,,2022,Non-monsoon,Biochemical Oxygen Demand,93 mg/L,93.0,,mg/L,Figure 2,Approximate value read from Figure 2.
32,Sector 5 Pushp Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,92 mg/L,92.0,,mg/L,Figure 2,Approximate value read from Figure 2.
33,Bus Depot Nizamuddin,,,2022,Non-monsoon,Biochemical Oxygen Demand,92 mg/L,92.0,,mg/L,Figure 2,Approximate value read from Figure 2.
34,Somnath Marg RK Puram,,,2022,Non-monsoon,Biochemical Oxygen Demand,91 mg/L,91.0,,mg/L,Figure 2,Approximate value read from Figure 2.
35,"Block C, Lajpat Nagar",,,2022,Non-monsoon,Biochemical Oxygen Demand,77 mg/L,77.0,,mg/L,Figure 2,Approximate value read from Figure 2.
36,Sewa Nagar Railcolony,,,2022,Non-monsoon,Biochemical Oxygen Demand,68 mg/L,68.0,,mg/L,Figure 2,Approximate value read from Figure 2.
37,Kailash Hostal(Iit Delhi_),,,2022,Non-monsoon,Biochemical Oxygen Demand,68 mg/L,68.0,,mg/L,Figure 2,Approximate value read from Figure 2.
38,East Kidwai Nagar,,,2022,Non-monsoon,Biochemical Oxygen Demand,63 mg/L,63.0,,mg/L,Figure 2,Approximate value read from Figure 2.
39,CGHS Colony Vasant Vihar,,,2022,Non-monsoon,Biochemical Oxygen Demand,63 mg/L,63.0,,mg/L,Figure 2,"Approximate value read from Figure 2. Second measurement for S1 in Figure 2, possibly a distinct sampling or figure error."
40,Sec-6 Saket (PSRI),,,2022,Non-monsoon,Biochemical Oxygen Demand,60 mg/L,60.0,,mg/L,Figure 2,Approximate value read from Figure 2.
41,Hanuman Mandir Nizamuddin,,,2022,Non-monsoon,Biochemical Oxygen Demand,59 mg/L,59.0,,mg/L,Figure 2,Approximate value read from Figure 2.
42,Jal Vihar Lajpat Nagar,,,2022,Non-monsoon,Biochemical Oxygen Demand,37 mg/L,37.0,,mg/L,Figure 2,Approximate value read from Figure 2.
43,Masala Mix (Iit Delhi),,,2022,Non-monsoon,Biochemical Oxygen Demand,50 mg/L,50.0,,mg/L,Figure 2,Approximate value read from Figure 2.
