paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S1,"Yamunotri, Uttarakhand",,,river water,surface water,"S. no: 1, State: UK, Location: Yamunotri*","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S2,"Hanumanchatti, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: Hanumanchatti*","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S3,"U/S Lakhwar Dam, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: U/S Lakhwar Dam","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S4,"U/S Dak Patthar, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: U/S Dak Patthar","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S5,"U/S Paonta Sahib, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: U/S Paonta Sahib","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S6,"D/S Paonta Sahib, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: D/S Paonta Sahib","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S7,"U/S Ranbaxy, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: U/S Ranbaxy","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S8,"D/S Ranbaxy, Himachal Pradesh",,,river water,surface water,"S. no: 2, State: HP, Location: D/S Ranbaxy","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S9,"Hathnikund, Yamunanagar, Haryana",,,river water,surface water,"S. no: 3, State: Haryana, Location: Hathnikund, Yamunanagar","Table 7, page 14",,,,,,,,,
"Madhuben Sharma, Sameeksha Rawat, Dheeraj Kumar, Amit Awasthi, Abhijit Sarkar, Atul Sidola, Tanupriya Choudhury, Ketan Kotecha. The state of the Yamuna River: a detailed review of water quality assessment across the entire course in India. Applied Water Science (2024) 14:175. https://doi.org/10.1007/s13201-024-02227-x",True,"Yamuna River, India, from Yamunotri to Prayagraj, covering Uttarakhand, Himachal Pradesh, Haryana, Delhi, Uttar Pradesh, Rajasthan, and Madhya Pradesh.",Locations monitored on yearly basis.,yearly,2020 | 2021,"The paper is a review article that synthesizes data from various sources, primarily focusing on the Yamuna River in India. The main quantitative data for sites and parameters was extracted from Table 7, which cites CPCB 2020 and CPCB 2021. The footnote for Table 7 indicates that locations were monitored on a yearly basis. 'BDL' (Below Detection Limit) for DO is specified as 3.0 mg/L in the footnote. Latitude and longitude were not explicitly provided for the sites in Table 7. Matrix for all sites is 'river water' and sample type is 'surface water' based on the context of the paper. Parameter categories were inferred based on common water quality classifications.",site,S10,"Kalanaur, Yamuna Nagar, Haryana",,,river water,surface water,"S. no: 3, State: Haryana, Location: Kalanaur, Yamuna Nagar","Table 7, page 14",,,,,,,,,
