Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Yamunotri,,,2020,,pH,7.4,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
2,Yamunotri,,,2020,,Dissolved Oxygen,10.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote. Location monitored on yearly basis.
3,Yamunotri,,,2020,,Electrical Conductivity,79,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
4,Yamunotri,,,2020,,Biochemical Oxygen Demand,BDL,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
5,Yamunotri,,,2020,,Fecal Coliform,4,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
6,Yamunotri,,,2020,,Total Coliform,4,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
7,Hanumanchatti,,,2020,,pH,7.9,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
8,Hanumanchatti,,,2020,,Dissolved Oxygen,11.6,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote. Location monitored on yearly basis.
9,Hanumanchatti,,,2020,,Electrical Conductivity,145,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
10,Hanumanchatti,,,2020,,Biochemical Oxygen Demand,BDL,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
11,Hanumanchatti,,,2020,,Fecal Coliform,94,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
12,Hanumanchatti,,,2020,,Total Coliform,140,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). Location monitored on yearly basis.
13,U/S Lakhwar Dam,,,2020,,Temperature,16-22,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
14,U/S Lakhwar Dam,,,2020,,pH,7.7-8.4,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
15,U/S Lakhwar Dam,,,2020,,Dissolved Oxygen,8.6-10.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
16,U/S Lakhwar Dam,,,2020,,Electrical Conductivity,142-320,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
17,U/S Lakhwar Dam,,,2020,,Biochemical Oxygen Demand,0.8-1.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
18,U/S Lakhwar Dam,,,2020,,Fecal Coliform,2-9,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
19,U/S Lakhwar Dam,,,2020,,Total Coliform,2-30,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
20,U/S Dak Patthar,,,2020,,Temperature,17-24,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
21,U/S Dak Patthar,,,2020,,pH,8.0-8.2,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
22,U/S Dak Patthar,,,2020,,Dissolved Oxygen,8.2-10.2,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
23,U/S Dak Patthar,,,2020,,Electrical Conductivity,106-162,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
24,U/S Dak Patthar,,,2020,,Biochemical Oxygen Demand,1.0-1.2,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
25,U/S Dak Patthar,,,2020,,Fecal Coliform,17-34,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
26,U/S Dak Patthar,,,2020,,Total Coliform,40-70,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
27,U/S Paonta Sahib,,,2020,,Temperature,13-28,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
28,U/S Paonta Sahib,,,2020,,pH,6.4-8.0,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
29,U/S Paonta Sahib,,,2020,,Dissolved Oxygen,7.1-9.1,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
30,U/S Paonta Sahib,,,2020,,Electrical Conductivity,214-5866,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
31,U/S Paonta Sahib,,,2020,,Biochemical Oxygen Demand,0.4-1.8,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
32,U/S Paonta Sahib,,,2020,,Fecal Coliform,9-46,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
33,U/S Paonta Sahib,,,2020,,Total Coliform,32-140,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
34,D/S Paonta Sahib,,,2020,,Temperature,11-31,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
35,D/S Paonta Sahib,,,2020,,pH,6.6-7.7,,,,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
36,D/S Paonta Sahib,,,2020,,Dissolved Oxygen,7.0-9.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)). BDL value for DO is 3.0 mg/L as per table footnote.
37,D/S Paonta Sahib,,,2020,,Electrical Conductivity,248-448,,,µmhos/cm,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
38,D/S Paonta Sahib,,,2020,,Biochemical Oxygen Demand,0.4-2.0,,,mg/L,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
39,D/S Paonta Sahib,,,2020,,Fecal Coliform,11-27,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
40,D/S Paonta Sahib,,,2020,,Total Coliform,38-94,,,MPN/100 mL,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
41,U/S Ranbaxy,,,2020,,Temperature,16-34,,,°C,Table 7,Data from CPCB (2020) (CPCB 2021 annexure VI (a)).
