paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S1,"Badshahpur & Basai drain. First major drain. These two drains mix before discharging effluents majorly from agricultural, industrial, and residential areas.",28.493247,76.947444,surface water,grab sample,"Badshahpur & Basai drain 28° 29′ 35.69"" N 76°56′ 50.80"" E First major drain. These two drains mix before discharging effluents majorly from agricultural, industrial, and residential areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S2,Goyla dairy outlet. Underground outlet discharging effluents from Goyla dairy.,28.577072,77.036239,surface water,grab sample,"Goyla dairy outlet 28° 34′ 37.46"" N 77° 2' 10.46"" E Underground outlet discharging effluents from Goyla dairy","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S3,Palam drain. Discharging effluents majorly from residential areas.,28.579472,77.038767,surface water,grab sample,"Palam drain 28° 34′ 46.10"" N 77° 2' 19.56"" E Discharging effluents majorly from residential areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S4,Mungeshpur drain. Discharging effluents majorly from agricultural and residential areas.,28.626328,77.019464,surface water,grab sample,"Mungeshpur drain 28° 37′ 34.78"" N 77° 1' 16.07"" E Discharging effluents majorly from agricultural and residential areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S5,Keshopur STP outlet. Discharging effluents from Keshopur sewage treatment plant.,28.653944,77.07837,surface water,grab sample,"Keshopur STP outlet 28° 39′ 14.20"" N 77° 4' 42.13"" E Discharging effluents from Keshopur sewage treatment plant","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S6,Basaidarapur drain. Underground outlet discharging effluents majorly from industrial and residential areas.,28.658458,77.124769,surface water,grab sample,"Basaidarapur drain 28° 39′ 30.45"" N 77° 7' 29.17"" E Underground outlet discharging effluents majorly from industrial and residential areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S7,Kanhaiya Nagar drain. Western Yamuna Canal discharging Yamuna River water contaminated due to discharges majorly from residential and industrial areas.,28.676328,77.16805,surface water,grab sample,"Kanhaiya Nagar drain 28° 40′ 34.78"" N 77° 10' 4.98"" E Western Yamuna Canal discharging Yamuna River water contaminated due to discharges majorly from residential and industrial areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,S8,Supplementary drain. Discharging effluents majorly from residential and industrial areas.,28.700694,77.227317,surface water,grab sample,"Supplementary drain 28° 42′ 42.53″ N 77° 13' 38.34"" E Discharging effluents majorly from residential and industrial areas","Table 2, page 3",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,N1,"Sampling point on Najafgarh drain, located approximately 500 m upstream to a selected secondary drain.",,,surface water,grab sample,"water quality analysis was conducted for twenty-five sampling locations comprising fifteen points on the Najafgarh drain (N1–N15)... In the Najafgarh drain, sampling points were purposely located at approximately 500 m upstream and downstream locations to each selected secondary drain so as to find the effect of that particular secondary drain on the Najafgarh drain water quality.","Page 3, Figure 1",,,,,,,,,
"Vaid, M., Sarma, K., Kala, P. & Gupta, A. The plight of Najafgarh drain in NCT of Delhi, India: assessment of the sources, statistical water quality evaluation, and fate of water pollutants. Environ Sci Pollut Res 29, 90580–90600 (2022). https://doi.org/10.1007/s11356-022-21710-z",False,"NCT of Delhi, India",May 2019 (pre-monsoon) and November 2019 (post-monsoon),Biannual,Pre-monsoon season | Post-monsoon season,"The paper mentions 25 sampling locations in total, comprising 15 points on the Najafgarh drain (N1–N15), 8 points on secondary drains (S1-S8), and 2 points in the Yamuna River (Y1-Y2). Table 2 provides detailed information for S1-S8. Descriptions for N and Y sites are derived from the text. Coordinates for N1-N15 and Y1-Y2 sites are not explicitly provided in tabular format, only shown on a map (Figure 1). Therefore, latitude and longitude are null for these sites. The paper states 'physicochemical parameters (n = 16), microbiological parameter (n = 1), and heavy metal concentrations (n=8)'. The 'Reagent preparation and analysis' section lists 14 physicochemical parameters (TEMP, pH, EC, SAL, TDS, TURB, DO, BOD, COD, NN, PHOS, TA, Cl-, TSS) plus Na and K as 'other metals', making it 16. Total coliforms is 1 microbiological. Heavy metals Cr, Pb, Fe, Ni, Mn, Zn, Cd, Cu are 8. This matches the total count of 25 parameters.",site,N2,"Sampling point on Najafgarh drain, located approximately 500 m upstream to a selected secondary drain.",,,surface water,grab sample,"water quality analysis was conducted for twenty-five sampling locations comprising fifteen points on the Najafgarh drain (N1–N15)... In the Najafgarh drain, sampling points were purposely located at approximately 500 m upstream and downstream locations to each selected secondary drain so as to find the effect of that particular secondary drain on the Najafgarh drain water quality.","Page 3, Figure 1",,,,,,,,,
