paper_overview.citation,paper_overview.is_review_paper,paper_overview.study_region,temporal_coverage.sampling_dates,temporal_coverage.granularity,temporal_coverage.time_periods,extraction_notes,row_type,site.id,site.description,site.latitude,site.longitude,site.matrix,site.sample_type,site.source_quote,site.source_location,parameter.id,parameter.name,parameter.name_as_reported,parameter.cas_number,parameter.category,parameter.unit_as_reported,data_source.location,data_source.description,data_source.page
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",site,S1,"Wazirabad barrage, upstream monitoring station on Yamuna River, Delhi",28.823442,77.227756,River water,Real-time monitoring,"The data were collected from two Real-Time Water Quality Monitoring Stations (RTWQMS) of the Delhi Pollution Control Committee (DPCC) upstream of the Wazirabad (ST1) barrage and upstream of the Okhla (ST2) barrage. ... The urban reach of the Yamuna, Delhi, is located between Wazirabad (28°49′24.39""N and 28°31′50.99″ N) and Okhla (77°13′39.92"" E and 77°20′36.8"" E)",Page 3,,,,,,,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",site,S2,"Okhla barrage, upstream monitoring station on Yamuna River, Delhi",28.530831,77.343556,River water,Real-time monitoring,"The data were collected from two Real-Time Water Quality Monitoring Stations (RTWQMS) of the Delhi Pollution Control Committee (DPCC) upstream of the Wazirabad (ST1) barrage and upstream of the Okhla (ST2) barrage. ... The urban reach of the Yamuna, Delhi, is located between Wazirabad (28°49′24.39""N and 28°31′50.99″ N) and Okhla (77°13′39.92",Page 3,,,,,,,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P1,Dissolved Oxygen,DO,,Chemical,mg/L,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P2,Conductivity,Conductivity,,Physical,µS/cm,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P3,Nitrate-Nitrogen,NO3,,Chemical,mg/l,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P4,Total Organic Carbon,TOC,,Chemical,mg/l,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P5,Total Suspended Solids,TSS,,Physical,mg/l,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P6,pH,pH,,Physical,s.u.,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P7,Temperature,Temp,,Physical,°C,,,
"Verma, N., Singh, G., & Ahsan, N. (2023). Assessment of Spatiotemporal Variations in Water Quality of the Urban River Reach, Yamuna, Delhi. Water Air Soil Pollut, 234(571). https://doi.org/10.1007/s11270-023-06569-1",False,"Urban River Reach, Yamuna, Delhi, India","Data collected from March 2021 to February 2022. For ST1, 6085 hourly observations. For ST2, 25,540 observations at 15-min intervals.","Hourly, 15-min intervals, monthly, seasonal",March 2021-February 2022,"Coordinates for ST1 and ST2 were inferred from the range provided for the urban reach of the Yamuna River, with Wazirabad being the upstream point and Okhla the downstream point. pH unit 's.u.' is interpreted as standard unit.",parameter,,,,,,,,,P8,Ammonium-Nitrogen,NH4,,Chemical,mg/l,,,
