Sr No.,Location(actual name not some legend thing),Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Wazirabad (ST1),,March,2021,Summer,Dissolved Oxygen,7.87±4.99,7.87,4.99,mg/L,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
2,Wazirabad (ST1),,March,2021,Summer,Electrical Conductivity,1181.92±197.48,1181.92,197.48,µS/cm,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
3,Wazirabad (ST1),,March,2021,Summer,Nitrate-nitrogen,2.08±0.53,2.08,0.53,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
4,Wazirabad (ST1),,March,2021,Summer,Total Organic Carbon,9.31±2.28,9.31,2.28,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
5,Wazirabad (ST1),,March,2021,Summer,Total Suspended Solids,23.92±8.8,23.92,8.8,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
6,Wazirabad (ST1),,March,2021,Summer,pH,7.99±0.5,7.99,0.5,s.u.,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
7,Wazirabad (ST1),,March,2021,Summer,Water Temperature,24.04±1.49,24.04,1.49,°C,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
8,Wazirabad (ST1),,March,2021,Summer,Ammonium-nitrogen,1.2±0.52,1.2,0.52,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
9,Wazirabad (ST1),,March,2021,Summer,Turbidity,10.38±3.85,10.38,3.85,NTU,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
10,Wazirabad (ST1),,March,2021,Summer,Biochemical Oxygen Demand,4.96±1.11,4.96,1.11,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
11,Wazirabad (ST1),,March,2021,Summer,Chemical Oxygen Demand,22.38±5.34,22.38,5.34,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
12,Wazirabad (ST1),,April,2021,Summer,Dissolved Oxygen,4.64±1.91,4.64,1.91,mg/L,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
13,Wazirabad (ST1),,April,2021,Summer,Electrical Conductivity,674.92±342.9,674.92,342.9,µS/cm,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
14,Wazirabad (ST1),,April,2021,Summer,Nitrate-nitrogen,1.52±1.88,1.52,1.88,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
15,Wazirabad (ST1),,April,2021,Summer,Total Organic Carbon,23.61±31.36,23.61,31.36,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
16,Wazirabad (ST1),,April,2021,Summer,Total Suspended Solids,76.95±117.14,76.95,117.14,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
17,Wazirabad (ST1),,April,2021,Summer,pH,7.47±0.997,7.47,0.997,s.u.,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
18,Wazirabad (ST1),,April,2021,Summer,Water Temperature,26.31±3.12,26.31,3.12,°C,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
19,Wazirabad (ST1),,April,2021,Summer,Ammonium-nitrogen,0.53±0.62,0.53,0.62,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
20,Wazirabad (ST1),,April,2021,Summer,Turbidity,54.65±89.34,54.65,89.34,NTU,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
21,Wazirabad (ST1),,April,2021,Summer,Biochemical Oxygen Demand,1.37±1.34,1.37,1.34,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
22,Wazirabad (ST1),,April,2021,Summer,Chemical Oxygen Demand,64.09±88.7,64.09,88.7,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
23,Wazirabad (ST1),,June,2021,Summer,Dissolved Oxygen,6.42±1.79,6.42,1.79,mg/L,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
24,Wazirabad (ST1),,June,2021,Summer,Electrical Conductivity,626.97±194.05,626.97,194.05,µS/cm,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
25,Wazirabad (ST1),,June,2021,Summer,Nitrate-nitrogen,2.22±0.28,2.22,0.28,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
26,Wazirabad (ST1),,June,2021,Summer,Total Organic Carbon,4.45±0.59,4.45,0.59,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
27,Wazirabad (ST1),,June,2021,Summer,Total Suspended Solids,10.99±1.5,10.99,1.5,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
28,Wazirabad (ST1),,June,2021,Summer,pH,7.36±0.33,7.36,0.33,s.u.,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
29,Wazirabad (ST1),,June,2021,Summer,Water Temperature,33.9±0.58,33.9,0.58,°C,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
30,Wazirabad (ST1),,June,2021,Summer,Ammonium-nitrogen,0.87±0.15,0.87,0.15,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
31,Wazirabad (ST1),,June,2021,Summer,Turbidity,15.5±3.31,15.5,3.31,NTU,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
32,Wazirabad (ST1),,June,2021,Summer,Biochemical Oxygen Demand,6.65±0.8,6.65,0.8,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
33,Wazirabad (ST1),,June,2021,Summer,Chemical Oxygen Demand,18.88±1.6,18.88,1.6,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
34,Wazirabad (ST1),,July,2021,Monsoon,Dissolved Oxygen,6.65±2.91,6.65,2.91,mg/L,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
35,Wazirabad (ST1),,July,2021,Monsoon,Electrical Conductivity,384.80±124.28,384.8,124.28,µS/cm,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
36,Wazirabad (ST1),,July,2021,Monsoon,Nitrate-nitrogen,1.47±0.59,1.47,0.59,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
37,Wazirabad (ST1),,July,2021,Monsoon,Total Organic Carbon,8.3±8.24,8.3,8.24,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
38,Wazirabad (ST1),,July,2021,Monsoon,Total Suspended Solids,29.05±37.96,29.05,37.96,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
39,Wazirabad (ST1),,July,2021,Monsoon,pH,7.17±0.69,7.17,0.69,s.u.,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
40,Wazirabad (ST1),,July,2021,Monsoon,Water Temperature,30.55±2.24,30.55,2.24,°C,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
41,Wazirabad (ST1),,July,2021,Monsoon,Ammonium-nitrogen,0.3±0.33,0.3,0.33,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
42,Wazirabad (ST1),,July,2021,Monsoon,Turbidity,61.26±76.86,61.26,76.86,NTU,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
43,Wazirabad (ST1),,July,2021,Monsoon,Biochemical Oxygen Demand,3.4±1.88,3.4,1.88,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
44,Wazirabad (ST1),,July,2021,Monsoon,Chemical Oxygen Demand,33.05±33.16,33.05,33.16,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
45,Wazirabad (ST1),,August,2021,Monsoon,Dissolved Oxygen,6.34±2.65,6.34,2.65,mg/L,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
46,Wazirabad (ST1),,August,2021,Monsoon,Electrical Conductivity,351.35±99.47,351.35,99.47,µS/cm,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
47,Wazirabad (ST1),,August,2021,Monsoon,Nitrate-nitrogen,3.69±1.16,3.69,1.16,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
48,Wazirabad (ST1),,August,2021,Monsoon,Total Organic Carbon,1.44±0.99,1.44,0.99,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
49,Wazirabad (ST1),,August,2021,Monsoon,Total Suspended Solids,33.64±23.6,33.64,23.6,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
50,Wazirabad (ST1),,August,2021,Monsoon,pH,7.14±0.52,7.14,0.52,s.u.,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
51,Wazirabad (ST1),,August,2021,Monsoon,Water Temperature,30.57±1.88,30.57,1.88,°C,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
52,Wazirabad (ST1),,August,2021,Monsoon,Ammonium-nitrogen,0.82±0.76,0.82,0.76,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
53,Wazirabad (ST1),,August,2021,Monsoon,Turbidity,96.67±445.1,96.67,445.1,NTU,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
54,Wazirabad (ST1),,August,2021,Monsoon,Biochemical Oxygen Demand,2.32±0.7,2.32,0.7,mg/l,Table 1,"Mean and standard deviation reported in Table 1 | issues: Wazirabad (ST1): Data for May 2021 was not available for ST1, as stated in the text and Table 1."
