site_id,parameter_id,time_period,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,original_source_citation,source_location,source_quote,extraction_issues
S1,BOD,non_monsoon_2022,77,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S1 BOD=77 mg/L,none
S2,BOD,non_monsoon_2022,110,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S2 BOD=110 mg/L,none
S3,BOD,non_monsoon_2022,166,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S3 BOD=166 mg/L,none
S4,BOD,non_monsoon_2022,150,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S4 BOD=150 mg/L,none
S5,BOD,non_monsoon_2022,162,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S5 BOD=162 mg/L,none
S6,BOD,non_monsoon_2022,107,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S6 BOD=107 mg/L,none
S7,BOD,non_monsoon_2022,119,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S7 BOD=119 mg/L,none
S8,BOD,non_monsoon_2022,168,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S8 BOD=168 mg/L,none
S9,BOD,non_monsoon_2022,93,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S9 BOD=93 mg/L,none
S10,BOD,non_monsoon_2022,68,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S10 BOD=68 mg/L,none
S11,BOD,non_monsoon_2022,63,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S11 BOD=63 mg/L,none
S12,BOD,non_monsoon_2022,92,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S12 BOD=92 mg/L,none
S13,BOD,non_monsoon_2022,60,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S13 BOD=60 mg/L,none
S14,BOD,non_monsoon_2022,109,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S14 BOD=109 mg/L,none
S15,BOD,non_monsoon_2022,167,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S15 BOD=167 mg/L,none
S16,BOD,non_monsoon_2022,170,,,,,1,reported_value,none,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",user_provided_table,S16 BOD=170 mg/L,none
