Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,S1 (Barapullah Basin),,,2022,non_monsoon,BOD,77,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S1 BOD=77 mg/L
2,S2 (Barapullah Basin),,,2022,non_monsoon,BOD,110,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S2 BOD=110 mg/L
3,S3 (Barapullah Basin),,,2022,non_monsoon,BOD,166,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S3 BOD=166 mg/L
4,S4 (Barapullah Basin),,,2022,non_monsoon,BOD,150,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S4 BOD=150 mg/L
5,S5 (Barapullah Basin),,,2022,non_monsoon,BOD,162,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S5 BOD=162 mg/L
6,S6 (Barapullah Basin),,,2022,non_monsoon,BOD,107,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S6 BOD=107 mg/L
7,S7 (Barapullah Basin),,,2022,non_monsoon,BOD,119,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S7 BOD=119 mg/L
8,S8 (Barapullah Basin),,,2022,non_monsoon,BOD,168,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S8 BOD=168 mg/L
9,S9 (Barapullah Basin),,,2022,non_monsoon,BOD,93,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S9 BOD=93 mg/L
10,S10 (Barapullah Basin),,,2022,non_monsoon,BOD,68,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S10 BOD=68 mg/L
11,S11 (Barapullah Basin),,,2022,non_monsoon,BOD,63,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S11 BOD=63 mg/L
12,S12 (Barapullah Basin),,,2022,non_monsoon,BOD,92,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S12 BOD=92 mg/L
13,S13 (Barapullah Basin),,,2022,non_monsoon,BOD,60,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S13 BOD=60 mg/L
14,S14 (Barapullah Basin),,,2022,non_monsoon,BOD,109,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S14 BOD=109 mg/L
15,S15 (Barapullah Basin),,,2022,non_monsoon,BOD,167,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S15 BOD=167 mg/L
16,S16 (Barapullah Basin),,,2022,non_monsoon,BOD,170,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S16 BOD=170 mg/L
17,S17 (Barapullah Basin),,,2022,non_monsoon,BOD,106,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S17 BOD=106 mg/L
18,S18 (Barapullah Basin),,,2022,non_monsoon,BOD,130,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S18 BOD=130 mg/L
19,S19 (Barapullah Basin),,,2022,non_monsoon,BOD,108,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S19 BOD=108 mg/L
20,S20 (Barapullah Basin),,,2022,non_monsoon,BOD,118,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S20 BOD=118 mg/L
21,S21 (Barapullah Basin),,,2022,non_monsoon,BOD,188,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S21 BOD=188 mg/L
22,S22 (Barapullah Basin),,,2022,non_monsoon,BOD,180,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S22 BOD=180 mg/L
23,S23 (Barapullah Basin),,,2022,non_monsoon,BOD,68,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S23 BOD=68 mg/L
24,S24 (Barapullah Basin),,,2022,non_monsoon,BOD,105,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S24 BOD=105 mg/L
25,S25 (Barapullah Basin),,,2022,non_monsoon,BOD,200,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S25 BOD=200 mg/L
26,S26 (Barapullah Basin),,,2022,non_monsoon,BOD,235,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S26 BOD=235 mg/L
27,S27 (Barapullah Basin),,,2022,non_monsoon,BOD,92,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S27 BOD=92 mg/L
28,S28 (Barapullah Basin),,,2022,non_monsoon,BOD,63,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S28 BOD=63 mg/L
29,S29 (Barapullah Basin),,,2022,non_monsoon,BOD,175,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S29 BOD=175 mg/L
30,S30 (Barapullah Basin),,,2022,non_monsoon,BOD,148,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S30 BOD=148 mg/L
31,S31 (Barapullah Basin),,,2022,non_monsoon,BOD,188,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S31 BOD=188 mg/L
32,S32 (Barapullah Basin),,,2022,non_monsoon,BOD,170,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S32 BOD=170 mg/L
33,S33 (Barapullah Basin),,,2022,non_monsoon,BOD,102,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S33 BOD=102 mg/L
34,S34 (Barapullah Basin),,,2022,non_monsoon,BOD,167,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S34 BOD=167 mg/L
35,S35 (Barapullah Basin),,,2022,non_monsoon,BOD,112,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S35 BOD=112 mg/L
36,S36 (Barapullah Basin),,,2022,non_monsoon,BOD,430,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S36 BOD=430 mg/L
37,S37 (Barapullah Basin),,,2022,non_monsoon,BOD,37,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S37 BOD=37 mg/L
38,S38 (Barapullah Basin),,,2022,non_monsoon,BOD,91,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S38 BOD=91 mg/L
39,S39 (Barapullah Basin),,,2022,non_monsoon,BOD,134,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S39 BOD=134 mg/L
40,S40 (Barapullah Basin),,,2022,non_monsoon,BOD,175,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S40 BOD=175 mg/L
41,S41 (Barapullah Basin),,,2022,non_monsoon,BOD,138,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S41 BOD=138 mg/L
42,S42 (Barapullah Basin),,,2022,non_monsoon,BOD,104,,,mg/L,"Samui et al., 2025, Identifying the pollution sources of River Yamuna",Source Location: user_provided_table | Source Quote: S42 BOD=104 mg/L
