Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
PJ,POM,Cd,0.00171,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00171 ± 0.0001; SD=0.0001.
PJ,POM,Co,0.0275,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0275 ± 0.0027; SD=0.0027.
PJ,POM,Cr,0.117,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.117 ± 0.0208; SD=0.0208.
PJ,POM,Cu,0.095,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.095 ± 0.0058; SD=0.0058.
PJ,POM,DO,4.8,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 4.8 ± 0.2; SD=0.2.
PJ,POM,ERI,53.407,,Reported value,river water,Ground truth workbook: HPI and ERI values,Original header: ERI (POM).
PJ,POM,Fe,0.529,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.529 ± 0.1; SD=0.1.
PJ,POM,HPI,115.417,,Reported value,river water,Ground truth workbook: HPI and ERI values,Original header: HPI (POM).
PJ,POM,Mn,0.081,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.081 ± 0.008; SD=0.008.
PJ,POM,NH3,0.53,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.53 ± 0.1; SD=0.1.
PJ,POM,NO2−,0.09,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.09 ± 0.01; SD=0.01.
PJ,POM,NO3−,8.35,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.35 ± 0.58; SD=0.58.
PJ,POM,Ni,0.01243,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.01243 ± 0.0021; SD=0.0021.
PJ,POM,Pb,0.0346,mg/L,Mean,river water,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0346 ± 0.002517; SD=0.002517.
PJ,POM,TDS,153.1,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 153.1 ± 1.04; SD=1.04.
PJ,POM,Temp,29.0,∘C,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 29 ± 0.58; SD=0.58.
PJ,POM,WH,133.7,mg/L,Mean,river water,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 133.7 ± 1.16; SD=1.16.
