Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Prayagraj,,,,POM,Cd,0.00171,0.00171,0.0001,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00171 ± 0.0001; SD=0.0001.
2,Prayagraj,,,,POM,Co,0.0275,0.0275,0.0027,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0275 ± 0.0027; SD=0.0027.
3,Prayagraj,,,,POM,Cr,0.117,0.117,0.0208,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.117 ± 0.0208; SD=0.0208.
4,Prayagraj,,,,POM,Cu,0.095,0.095,0.0058,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.095 ± 0.0058; SD=0.0058.
5,Prayagraj,,,,POM,DO,4.8,4.8,0.2,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 4.8 ± 0.2; SD=0.2.
6,Prayagraj,,,,POM,ERI,53.407,,,,Ground truth workbook: HPI and ERI values,Original header: ERI (POM).
7,Prayagraj,,,,POM,Fe,0.529,0.529,0.1,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.529 ± 0.1; SD=0.1.
8,Prayagraj,,,,POM,HPI,115.417,,,,Ground truth workbook: HPI and ERI values,Original header: HPI (POM).
9,Prayagraj,,,,POM,Mn,0.081,0.081,0.008,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.081 ± 0.008; SD=0.008.
10,Prayagraj,,,,POM,NH3,0.53,0.53,0.1,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.53 ± 0.1; SD=0.1.
11,Prayagraj,,,,POM,NO2−,0.09,0.09,0.01,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.09 ± 0.01; SD=0.01.
12,Prayagraj,,,,POM,NO3−,8.35,8.35,0.58,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.35 ± 0.58; SD=0.58.
13,Prayagraj,,,,POM,Ni,0.01243,0.01243,0.0021,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.01243 ± 0.0021; SD=0.0021.
14,Prayagraj,,,,POM,Pb,0.0346,0.0346,0.002517,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0346 ± 0.002517; SD=0.002517.
15,Prayagraj,,,,POM,TDS,153.1,153.1,1.04,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 153.1 ± 1.04; SD=1.04.
16,Prayagraj,,,,POM,Temp,29.0,29.0,0.58,∘C,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 29 ± 0.58; SD=0.58.
17,Prayagraj,,,,POM,WH,133.7,133.7,1.16,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 133.7 ± 1.16; SD=1.16.
18,Prayagraj,,,,POM,Zn,0.025,0.025,0.0058,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.025 ± 0.0058; SD=0.0058.
19,Prayagraj,,,,POM,pH,7.8,7.8,0.1,,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 7.8 ± 0.1; SD=0.1.
20,Prayagraj,,,,PRM,Cd,0.0021,0.0021,0.00014,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0021 ± 0.00014; SD=0.00014.
21,Prayagraj,,,,PRM,Co,0.00087,0.00087,0.0001,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00087 ± 0.0001; SD=0.0001.
22,Prayagraj,,,,PRM,Cr,0.25994,0.25994,0.01,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.25994 ± 0.01; SD=0.01.
23,Prayagraj,,,,PRM,Cu,0.0085,0.0085,0.0012,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0085 ± 0.0012; SD=0.0012.
24,Prayagraj,,,,PRM,DO,4.17,4.17,0.31,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 4.17 ± 0.31; SD=0.31.
25,Prayagraj,,,,PRM,ERI,72.348,,,,Ground truth workbook: HPI and ERI values,Original header: ERI (PRM).
26,Prayagraj,,,,PRM,Fe,0.85,0.85,0.029,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.85 ± 0.029; SD=0.029.
27,Prayagraj,,,,PRM,HPI,204.808,,,,Ground truth workbook: HPI and ERI values,Original header: HPI (PRM).
28,Prayagraj,,,,PRM,Mn,0.129,0.129,0.012,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.129 ± 0.012; SD=0.012.
29,Prayagraj,,,,PRM,NH3,0.47,0.47,0.06,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.47 ± 0.06; SD=0.06.
30,Prayagraj,,,,PRM,NO2−,0.11,0.11,0.01,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.11 ± 0.01; SD=0.01.
31,Prayagraj,,,,PRM,NO3−,9.67,9.67,0.57,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 9.67 ± 0.57; SD=0.57.
32,Prayagraj,,,,PRM,Ni,0.0183,0.0183,0.00164,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0183 ± 0.00164; SD=0.00164.
33,Prayagraj,,,,PRM,Pb,0.0601,0.0601,0.005012,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0601 ± 0.005012; SD=0.005012.
34,Prayagraj,,,,PRM,TDS,374.0,374.0,4,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 374 ± 4; SD=4.
35,Prayagraj,,,,PRM,Temp,24.7,24.7,0.58,∘C,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 24.7 ± 0.58; SD=0.58.
36,Prayagraj,,,,PRM,WH,160.5,160.5,2.5,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 160.5 ± 2.5; SD=2.5.
37,Prayagraj,,,,PRM,Zn,0.102,0.102,0.0058,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.102 ± 0.0058; SD=0.0058.
38,Prayagraj,,,,PRM,pH,8.37,8.37,0.05,,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.37 ± 0.05; SD=0.05.
39,Paonta Sahib,,,,POM,Cd,0.0004,0.0004,0.000035,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0004 ± 0.000035; SD=0.000035.
40,Paonta Sahib,,,,POM,Co,0.0008,0.0008,0.0001,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0008 ± 0.0001; SD=0.0001.
41,Paonta Sahib,,,,POM,Cr,0.0344,0.0344,0.0007,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0344 ± 0.0007; SD=0.0007.
42,Paonta Sahib,,,,POM,Cu,0.004,0.004,0.00071,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.004 ± 0.00071; SD=0.00071.
43,Paonta Sahib,,,,POM,DO,7.53,7.53,0.06,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 7.53 ± 0.06; SD=0.06.
44,Paonta Sahib,,,,POM,ERI,8.718,,,,Ground truth workbook: HPI and ERI values,Original header: ERI (POM).
45,Paonta Sahib,,,,POM,Fe,0.428,0.428,0.07,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.428 ± 0.07; SD=0.07.
46,Paonta Sahib,,,,POM,HPI,16.624,,,,Ground truth workbook: HPI and ERI values,Original header: HPI (POM).
47,Paonta Sahib,,,,POM,Mn,0.031,0.031,0.007,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.031 ± 0.007; SD=0.007.
48,Paonta Sahib,,,,POM,NH3,0.127,0.127,0.01,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.127 ± 0.01; SD=0.01.
49,Paonta Sahib,,,,POM,NO2−,0.0,0.0,,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.0.
50,Paonta Sahib,,,,POM,NO3−,10.33,10.33,0.58,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 10.33 ± 0.58; SD=0.58.
51,Paonta Sahib,,,,POM,Ni,0.006,0.006,0.0006,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.006 ± 0.0006; SD=0.0006.
52,Paonta Sahib,,,,POM,Pb,0.0006,0.0006,0.000008,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0006 ± 0.000008; SD=0.000008.
53,Paonta Sahib,,,,POM,TDS,125.6,125.6,4.01,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 125.6 ± 4.01; SD=4.01.
54,Paonta Sahib,,,,POM,Temp,25.0,25.0,0,∘C,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 25 ± 0; SD=0.
55,Paonta Sahib,,,,POM,WH,103.0,103.0,1,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 103 ± 1; SD=1.
56,Paonta Sahib,,,,POM,Zn,0.0465,0.0465,0.007,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0465 ± 0.007; SD=0.007.
57,Paonta Sahib,,,,POM,pH,8.03,8.03,0.06,,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.03 ± 0.06; SD=0.06.
58,Paonta Sahib,,,,PRM,Cd,0.00134,0.00134,0.000099,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00134 ± 0.000099; SD=0.000099.
59,Paonta Sahib,,,,PRM,Co,0.001,0.001,0.00005,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.001 ± 0.00005; SD=0.00005.
60,Paonta Sahib,,,,PRM,Cr,0.04,0.04,0.0014,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.04 ± 0.0014; SD=0.0014.
61,Paonta Sahib,,,,PRM,Cu,0.0049,0.0049,0.00035,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0049 ± 0.00035; SD=0.00035.
62,Paonta Sahib,,,,PRM,DO,8.53,8.53,0.35,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.53 ± 0.35; SD=0.35.
63,Paonta Sahib,,,,PRM,ERI,24.437,,,,Ground truth workbook: HPI and ERI values,Original header: ERI (PRM).
64,Paonta Sahib,,,,PRM,Fe,1.17,1.17,0.021,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 1.17 ± 0.021; SD=0.021.
65,Paonta Sahib,,,,PRM,HPI,45.33,,,,Ground truth workbook: HPI and ERI values,Original header: HPI (PRM).
66,Paonta Sahib,,,,PRM,Mn,0.037,0.037,0.003,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.037 ± 0.003; SD=0.003.
67,Paonta Sahib,,,,PRM,NH3,0.27,0.27,0.03,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.27 ± 0.03; SD=0.03.
68,Paonta Sahib,,,,PRM,NO2−,0.0,0.0,,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.0.
69,Paonta Sahib,,,,PRM,NO3−,8.83,8.83,0.77,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 8.83 ± 0.77; SD=0.77.
70,Paonta Sahib,,,,PRM,Ni,0.0118,0.0118,0.002,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0118 ± 0.002; SD=0.002.
71,Paonta Sahib,,,,PRM,Pb,0.0021,0.0021,0.00071,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0021 ± 0.00071; SD=0.00071.
72,Paonta Sahib,,,,PRM,TDS,204.3,204.3,2.53,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 204.3 ± 2.53; SD=2.53.
73,Paonta Sahib,,,,PRM,Temp,25.3,25.3,0.57,∘C,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 25.3 ± 0.57; SD=0.57.
74,Paonta Sahib,,,,PRM,WH,106.7,106.7,0.65,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 106.7 ± 0.65; SD=0.65.
75,Paonta Sahib,,,,PRM,Zn,0.0668,0.0668,0.01,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0668 ± 0.01; SD=0.01.
76,Paonta Sahib,,,,PRM,pH,7.37,7.37,0.15,,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 7.37 ± 0.15; SD=0.15.
77,Paonta Sahib,,,,,Latitude,30.43,,,decimal degrees,Ground truth workbook: Site coordinates,Original latitude: 30°25′48′′ N 
78,Paonta Sahib,,,,,Longitude,77.6275,,,decimal degrees,Ground truth workbook: Site coordinates,Original longitude: 77°37′39′′ E 
79,Prayagraj,,,,,Latitude,25.428333333333335,,,decimal degrees,Ground truth workbook: Site coordinates,Original latitude: 25°25′42′′ N
80,Prayagraj,,,,,Longitude,81.86166666666666,,,decimal degrees,Ground truth workbook: Site coordinates,Original longitude:  81°51′42′′ E
81,Study-wide,,,,,Cd,6.1,,,,Ground truth workbook: Metals RfD and CSF,
82,Study-wide,,,,,Cd,0.0005,,,,Ground truth workbook: Metals RfD and CSF,
83,Study-wide,,,,,Co,0.03,,,,Ground truth workbook: Metals RfD and CSF,
84,Study-wide,,,,,Cr,0.5,,,,Ground truth workbook: Metals RfD and CSF,
85,Study-wide,,,,,Cr,0.003,,,,Ground truth workbook: Metals RfD and CSF,
86,Study-wide,,,,,Cu,0.04,,,,Ground truth workbook: Metals RfD and CSF,
87,Study-wide,,,,,Fe,0.3,,,,Ground truth workbook: Metals RfD and CSF,
88,Study-wide,,,,,Mn,0.14,,,,Ground truth workbook: Metals RfD and CSF,
89,Study-wide,,,,,Ni,0.84,,,,Ground truth workbook: Metals RfD and CSF,
90,Study-wide,,,,,Ni,0.02,,,,Ground truth workbook: Metals RfD and CSF,
91,Study-wide,,,,,Pb,0.0085,,,,Ground truth workbook: Metals RfD and CSF,
92,Study-wide,,,,,Pb,0.0014,,,,Ground truth workbook: Metals RfD and CSF,
93,Study-wide,,,,,Zn,0.3,,,,Ground truth workbook: Metals RfD and CSF,
94,Wazirabad After Drain,,,,POM,Cd,0.000483,0.000483,0.00008,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.000483 ± 0.00008; SD=0.00008.
95,Wazirabad After Drain,,,,POM,Co,0.01063,0.01063,0.0008,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.01063 ± 0.0008; SD=0.0008.
96,Wazirabad After Drain,,,,POM,Cr,0.07263,0.07263,0.01,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.07263 ± 0.01; SD=0.01.
97,Wazirabad After Drain,,,,POM,Cu,0.2419,0.2419,0.011,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.2419 ± 0.011; SD=0.011.
98,Wazirabad After Drain,,,,POM,DO,3.6,3.6,0.1,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 3.6 ± 0.1; SD=0.1.
99,Wazirabad After Drain,,,,POM,ERI,56.116,,,,Ground truth workbook: HPI and ERI values,Original header: ERI (POM).
100,Wazirabad After Drain,,,,POM,Fe,1.173,1.173,0.15,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 1.173 ± 0.15; SD=0.15.
101,Wazirabad After Drain,,,,POM,HPI,75.352,,,,Ground truth workbook: HPI and ERI values,Original header: HPI (POM).
102,Wazirabad After Drain,,,,POM,Mn,0.248,0.248,0.027,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.248 ± 0.027; SD=0.027.
103,Wazirabad After Drain,,,,POM,NH3,9.0,9.0,1,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 9 ± 1; SD=1.
104,Wazirabad After Drain,,,,POM,NO2−,0.0,0.0,,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 0.0.
105,Wazirabad After Drain,,,,POM,NO3−,1.23,1.23,0.26,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 1.23 ± 0.26; SD=0.26.
106,Wazirabad After Drain,,,,POM,Ni,0.0306,0.0306,0.0072,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0306 ± 0.0072; SD=0.0072.
107,Wazirabad After Drain,,,,POM,Pb,0.0201,0.0201,0.0051,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.0201 ± 0.0051; SD=0.0051.
108,Wazirabad After Drain,,,,POM,TDS,582.5,582.5,1.93,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 582.5 ± 1.93; SD=1.93.
109,Wazirabad After Drain,,,,POM,Temp,21.0,21.0,0,∘C,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 21 ± 0; SD=0.
110,Wazirabad After Drain,,,,POM,WH,164.3,164.3,2.03,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 164.3 ± 2.03; SD=2.03.
111,Wazirabad After Drain,,,,POM,Zn,0.223,0.223,0.026,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.223 ± 0.026; SD=0.026.
112,Wazirabad After Drain,,,,POM,pH,7.67,7.67,0.05,,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 7.67 ± 0.05; SD=0.05.
113,Wazirabad After Drain,,,,PRM,Cd,0.00072,0.00072,0.00016,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00072 ± 0.00016; SD=0.00016.
114,Wazirabad After Drain,,,,PRM,Co,0.00684,0.00684,0.0014,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.00684 ± 0.0014; SD=0.0014.
115,Wazirabad After Drain,,,,PRM,Cr,0.225,0.225,0.0061,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.225 ± 0.0061; SD=0.0061.
116,Wazirabad After Drain,,,,PRM,Cu,0.1139,0.1139,0.011,mg/L,Ground truth workbook: Heavy metal concentration statistics,Original reported value: 0.1139 ± 0.011; SD=0.011.
117,Wazirabad After Drain,,,,PRM,DO,3.0,3.0,0.1,mg/L,Ground truth workbook: Physical-chemical descriptive statistics,Original reported value: 3 ± 0.1; SD=0.1.
