Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
Y-1,Post-monsoon,2-hydroxybenzothiazole,80.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Caffeine,100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Carbamazepine,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Ciprofloxacin,35.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Diclofenac,75.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Enrofloxacin,36.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Estrone,60.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Gemfibrozil,330.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Ketoprofen,30.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Naproxen,100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Progesterone,15.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Sulfamethoxazole,50.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Testosterone,112.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Triclosan,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Post-monsoon,Trimethoprim,100.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,2-hydroxybenzothiazole,175.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
Y-1,Summer,Atenolol,0.0,ng/L,Reported value,river water,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
