Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Dakpatthar,,,,Post-monsoon,2-hydroxybenzothiazole,80.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
2,Dakpatthar,,,,Post-monsoon,Atenolol,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
3,Dakpatthar,,,,Post-monsoon,Caffeine,100.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
4,Dakpatthar,,,,Post-monsoon,Carbamazepine,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
5,Dakpatthar,,,,Post-monsoon,Ciprofloxacin,35.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
6,Dakpatthar,,,,Post-monsoon,Diclofenac,75.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
7,Dakpatthar,,,,Post-monsoon,Enrofloxacin,36.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
8,Dakpatthar,,,,Post-monsoon,Estrone,60.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
9,Dakpatthar,,,,Post-monsoon,Gemfibrozil,330.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
10,Dakpatthar,,,,Post-monsoon,Ketoprofen,30.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
11,Dakpatthar,,,,Post-monsoon,Naproxen,100.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
12,Dakpatthar,,,,Post-monsoon,Progesterone,15.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
13,Dakpatthar,,,,Post-monsoon,Sulfamethoxazole,50.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
14,Dakpatthar,,,,Post-monsoon,Testosterone,112.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
15,Dakpatthar,,,,Post-monsoon,Triclosan,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
16,Dakpatthar,,,,Post-monsoon,Trimethoprim,100.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
17,Dakpatthar,,,,Summer,2-hydroxybenzothiazole,175.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
18,Dakpatthar,,,,Summer,Atenolol,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
19,Dakpatthar,,,,Summer,Caffeine,60.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
20,Dakpatthar,,,,Summer,Carbamazepine,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
21,Dakpatthar,,,,Summer,Ciprofloxacin,0.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
22,Dakpatthar,,,,Summer,Diclofenac,25.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
23,Dakpatthar,,,,Summer,Enrofloxacin,34.0,,,ng/L,Ground truth workbook: Paper-5 concentration table,Unit inferred from the paper context because the worksheet does not include a unit column.
