Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Overall,,,,,Study Period,2014-15,,,,Metadata,
2,Overall,,,,,Latitude,25°21′17″ - 30° 25 31,,,,Metadata,
3,Overall,,,,,pH,6.5–8.5,,,,Water Quality Guidelines,Standard: Class A
4,Overall,,,,,pH,6.5–8.5,,,,Water Quality Guidelines,Standard: Class B
5,Overall,,,,,pH,6.0–9.0,,,,Water Quality Guidelines,Standard: Class C
6,Overall,,,,,pH,6.5–8.5,,,,Water Quality Guidelines,Standard: Class D
7,Overall,,,,,pH,6.0–8.5,,,,Water Quality Guidelines,Standard: Class E
8,Overall,,,,,pH,6.5–8.5,,,,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
9,Overall,,,,,pH,No relaxation,,,,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
10,Overall,,,,,DO,≥6,,,mg/L,Water Quality Guidelines,Standard: Class A
11,Overall,,,,,DO,≥5,,,mg/L,Water Quality Guidelines,Standard: Class B
12,Overall,,,,,DO,≥4,,,mg/L,Water Quality Guidelines,Standard: Class C
13,Overall,,,,,DO,≥4,,,mg/L,Water Quality Guidelines,Standard: Class D
14,Overall,,,,,BOD,≤2,,,mg/L,Water Quality Guidelines,Standard: Class A
15,Overall,,,,,BOD,≤3,,,mg/L,Water Quality Guidelines,Standard: Class B
16,Overall,,,,,BOD,≤3,,,mg/L,Water Quality Guidelines,Standard: Class C
17,Overall,,,,,TDS,≤500,,,mg/L,Water Quality Guidelines,Standard: Class A
18,Overall,,,,,TDS,≤1500,,,mg/L,Water Quality Guidelines,Standard: Class C
19,Overall,,,,,TDS,≤2100,,,mg/L,Water Quality Guidelines,Standard: Class E
20,Overall,,,,,TDS,500,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
21,Overall,,,,,TDS,2000,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
22,Overall,,,,,EC,≤1000,,,µS/cm,Water Quality Guidelines,Standard: Class D
23,Overall,,,,,EC,≤2250,,,µS/cm,Water Quality Guidelines,Standard: Class E
24,Overall,,,,,TA,200,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
25,Overall,,,,,TA,600,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
26,Overall,,,,,TH,≤300,,,mg/L,Water Quality Guidelines,Standard: Class A
27,Overall,,,,,TH,300,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
28,Overall,,,,,TH,600,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
29,Overall,,,,,Ca-H,≤200,,,mg/L,Water Quality Guidelines,Standard: Class A
30,Overall,,,,,Ca-H,75,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
31,Overall,,,,,Ca-H,200,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
32,Overall,,,,,Mg-H,≤100,,,mg/L,Water Quality Guidelines,Standard: Class A
33,Overall,,,,,Mg-H,30,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
34,Overall,,,,,Mg-H,100,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
35,Overall,,,,,NH4+,≤1.2,,,mg/L,Water Quality Guidelines,Standard: Class D
36,Overall,,,,,NH4+,0.5,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
37,Overall,,,,,NH4+,No relaxation,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
38,Overall,,,,,NO3-,≤20,,,mg/L,Water Quality Guidelines,Standard: Class A
39,Overall,,,,,NO3-,≤50,,,mg/L,Water Quality Guidelines,Standard: Class C
40,Overall,,,,,NO3-,45,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
41,Overall,,,,,NO3-,100,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
42,Overall,,,,,SO4^2-,≤400,,,mg/L,Water Quality Guidelines,Standard: Class A
43,Overall,,,,,SO4^2-,≤400,,,mg/L,Water Quality Guidelines,Standard: Class C
44,Overall,,,,,SO4^2-,≤1000,,,mg/L,Water Quality Guidelines,Standard: Class E
45,Overall,,,,,SO4^2-,200,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
46,Overall,,,,,SO4^2-,400,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
47,Overall,,,,,Cl-,≤250,,,mg/L,Water Quality Guidelines,Standard: Class A
48,Overall,,,,,Cl-,≤600,,,mg/L,Water Quality Guidelines,Standard: Class C
49,Overall,,,,,Cl-,≤600,,,mg/L,Water Quality Guidelines,Standard: Class E
50,Overall,,,,,Cl-,250,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
51,Overall,,,,,Cl-,1000,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
52,Overall,,,,,F-,≤1.5,,,mg/L,Water Quality Guidelines,Standard: Class A
53,Overall,,,,,F-,≤1.5,,,mg/L,Water Quality Guidelines,Standard: Class B
54,Overall,,,,,F-,≤1.5,,,mg/L,Water Quality Guidelines,Standard: Class C
55,Overall,,,,,F-,1,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
56,Overall,,,,,F-,1.5,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
57,Overall,,,,,Fe,≤0.3,,,mg/L,Water Quality Guidelines,Standard: Class A
58,Overall,,,,,Fe,≤0.5,,,mg/L,Water Quality Guidelines,Standard: Class C
59,Overall,,,,,Fe,0.3,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
60,Overall,,,,,Fe,1,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
61,Overall,,,,,B,≤2.0,,,mg/L,Water Quality Guidelines,Standard: Class E
62,Overall,,,,,B,1,,,mg/L,Water Quality Guidelines,Standard: Desirable Limit (IS:10500)
63,Overall,,,,,B,5,,,mg/L,Water Quality Guidelines,Standard: Permissible Limit (IS:10500)
64,Overall,,,,Monsoon,Temp,0.1,,,,PCA Results,
65,Overall,,,,Monsoon,Temp,0.1,,,,PCA Results,
66,Overall,,,,Non-monsoon,Temp,0.2,,,,PCA Results,
67,Overall,,,,Non-monsoon,Temp,-0.1,,,,PCA Results,
68,Overall,,,,Monsoon,pH,-0.3,,,,PCA Results,
69,Overall,,,,Monsoon,pH,0.2,,,,PCA Results,
70,Overall,,,,Non-monsoon,pH,0,,,,PCA Results,
71,Overall,,,,Non-monsoon,pH,-0.4,,,,PCA Results,
72,Overall,,,,Monsoon,DO,-0.1,,,,PCA Results,
73,Overall,,,,Monsoon,DO,-0.4,,,,PCA Results,
