Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
Agra Canal Midstream (ACMS),Apr,AMM (ammonia),16.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Apr,BOD (biochemical oxygen demand),17.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Apr,COD (chemical oxygen demand),59.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Apr,DO (dissolved oxygen),0.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Apr,TKN (total Kjeldahl nitrogen),22.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Apr,fecal coliform,2500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Apr,total coliform,500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Aug,AMM (ammonia),4.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Aug,BOD (biochemical oxygen demand),6.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Aug,COD (chemical oxygen demand),26.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Aug,DO (dissolved oxygen),2.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Aug,TKN (total Kjeldahl nitrogen),8.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Aug,fecal coliform,800000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Aug,total coliform,250000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Dec,AMM (ammonia),10.8,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Dec,BOD (biochemical oxygen demand),14.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Dec,COD (chemical oxygen demand),47.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Dec,DO (dissolved oxygen),0.5,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Dec,TKN (total Kjeldahl nitrogen),12.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Dec,fecal coliform,1500000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Dec,total coliform,1000000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Feb,AMM (ammonia),10.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Feb,BOD (biochemical oxygen demand),13.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Feb,COD (chemical oxygen demand),49.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Feb,DO (dissolved oxygen),0.1,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Feb,TKN (total Kjeldahl nitrogen),14.3,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Feb,fecal coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Feb,total coliform,1300000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Jan,AMM (ammonia),11.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
Agra Canal Midstream (ACMS),Jan,BOD (biochemical oxygen demand),19.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
Agra Canal Midstream (ACMS),Jan,COD (chemical oxygen demand),67.0,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
Agra Canal Midstream (ACMS),Jan,DO (dissolved oxygen),0.2,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
Agra Canal Midstream (ACMS),Jan,TKN (total Kjeldahl nitrogen),17.9,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
Agra Canal Midstream (ACMS),Jan,fecal coliform,1800000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
Agra Canal Midstream (ACMS),Jan,total coliform,1200000.0,No./100 mL,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
Agra Canal Midstream (ACMS),Jul,AMM (ammonia),5.6,mg/L,Reported value,river water,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
