Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Agra Canal Midstream,,Apr,,,AMM (ammonia),16.2,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
2,Agra Canal Midstream,,Apr,,,BOD (biochemical oxygen demand),17.6,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
3,Agra Canal Midstream,,Apr,,,COD (chemical oxygen demand),59.0,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
4,Agra Canal Midstream,,Apr,,,DO (dissolved oxygen),0.6,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
5,Agra Canal Midstream,,Apr,,,TKN (total Kjeldahl nitrogen),22.1,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
6,Agra Canal Midstream,,Apr,,,fecal coliform,2500000.0,,,No./100 mL,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
7,Agra Canal Midstream,,Apr,,,total coliform,500000.0,,,No./100 mL,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
8,Agra Canal Midstream,,Aug,,,AMM (ammonia),4.3,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
9,Agra Canal Midstream,,Aug,,,BOD (biochemical oxygen demand),6.2,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
10,Agra Canal Midstream,,Aug,,,COD (chemical oxygen demand),26.0,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: COD (chemical oxygen demand).
11,Agra Canal Midstream,,Aug,,,DO (dissolved oxygen),2.5,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: DO (dissolved oxygen).
12,Agra Canal Midstream,,Aug,,,TKN (total Kjeldahl nitrogen),8.5,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: TKN (total Kjeldahl nitrogen).
13,Agra Canal Midstream,,Aug,,,fecal coliform,800000.0,,,No./100 mL,Ground truth workbook: Paper 8 monthly table,Original workbook column: fecal coliform.
14,Agra Canal Midstream,,Aug,,,total coliform,250000.0,,,No./100 mL,Ground truth workbook: Paper 8 monthly table,Original workbook column: total coliform.
15,Agra Canal Midstream,,Dec,,,AMM (ammonia),10.8,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: AMM (ammonia).
16,Agra Canal Midstream,,Dec,,,BOD (biochemical oxygen demand),14.2,,,mg/L,Ground truth workbook: Paper 8 monthly table,Original workbook column: BOD (biochemical oxygen demand).
