site_id,parameter_id,time_period,raw_value,mean_value,std_dev,min_value,max_value,n_observations,aggregation_level,limit_qualifier,detection_limit,unit,original_source_citation,source_location,source_quote,extraction_issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TEMP,pre-monsoon,27.5,,,,,,reported_value,,,°C,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TEMP,pre-monsoon,30.8,,,,,,reported_value,,,°C,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TEMP,post-monsoon,21.5,,,,,,reported_value,,,°C,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TEMP,post-monsoon,23.1,,,,,,reported_value,,,°C,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,pH,pre-monsoon,6.5,,,,,,reported_value,,,,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,pH,pre-monsoon,6.5,,,,,,reported_value,,,,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,pH,post-monsoon,7.6,,,,,,reported_value,,,,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,pH,post-monsoon,7.5,,,,,,reported_value,,,,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TURB,pre-monsoon,4.6,,,,,,reported_value,,,NTU,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TURB,pre-monsoon,42.6,,,,,,reported_value,,,NTU,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TURB,post-monsoon,5.2,,,,,,reported_value,,,NTU,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TURB,post-monsoon,47.2,,,,,,reported_value,,,NTU,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,EC,pre-monsoon,1005,,,,,,reported_value,,,µS/cm,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,EC,pre-monsoon,2110,,,,,,reported_value,,,µS/cm,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,EC,post-monsoon,672,,,,,,reported_value,,,µS/cm,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,EC,post-monsoon,1924,,,,,,reported_value,,,µS/cm,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,SAL,pre-monsoon,495,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,SAL,pre-monsoon,1070,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,SAL,post-monsoon,337,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,SAL,post-monsoon,1000,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TDS,pre-monsoon,711,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TDS,pre-monsoon,1480,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TDS,post-monsoon,477,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TDS,post-monsoon,1360,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TSS,pre-monsoon,1.5,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TSS,pre-monsoon,227,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,TSS,post-monsoon,3.2,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,TSS,post-monsoon,84,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,DO,pre-monsoon,4.4,,,,,,reported_value,,,mg/L,"Vaid et al., 2022",Table 3,Exact table value,no issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
