Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Najafgarh Drain (N1),,,,pre-monsoon,TEMP,27.5,,,°C,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
2,Najafgarh Drain (N15),,,,pre-monsoon,TEMP,30.8,,,°C,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
3,Najafgarh Drain (N1),,,,post-monsoon,TEMP,21.5,,,°C,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
4,Najafgarh Drain (N15),,,,post-monsoon,TEMP,23.1,,,°C,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
5,Najafgarh Drain (N1),,,,pre-monsoon,pH,6.5,,,,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
6,Najafgarh Drain (N15),,,,pre-monsoon,pH,6.5,,,,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
7,Najafgarh Drain (N1),,,,post-monsoon,pH,7.6,,,,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
8,Najafgarh Drain (N15),,,,post-monsoon,pH,7.5,,,,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
9,Najafgarh Drain (N1),,,,pre-monsoon,TURB,4.6,,,NTU,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
10,Najafgarh Drain (N15),,,,pre-monsoon,TURB,42.6,,,NTU,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
11,Najafgarh Drain (N1),,,,post-monsoon,TURB,5.2,,,NTU,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
12,Najafgarh Drain (N15),,,,post-monsoon,TURB,47.2,,,NTU,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
13,Najafgarh Drain (N1),,,,pre-monsoon,EC,1005,,,µS/cm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
14,Najafgarh Drain (N15),,,,pre-monsoon,EC,2110,,,µS/cm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
15,Najafgarh Drain (N1),,,,post-monsoon,EC,672,,,µS/cm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
16,Najafgarh Drain (N15),,,,post-monsoon,EC,1924,,,µS/cm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
17,Najafgarh Drain (N1),,,,pre-monsoon,SAL,495,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
18,Najafgarh Drain (N15),,,,pre-monsoon,SAL,1070,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
19,Najafgarh Drain (N1),,,,post-monsoon,SAL,337,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
20,Najafgarh Drain (N15),,,,post-monsoon,SAL,1000,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
21,Najafgarh Drain (N1),,,,pre-monsoon,TDS,711,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
22,Najafgarh Drain (N15),,,,pre-monsoon,TDS,1480,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
23,Najafgarh Drain (N1),,,,post-monsoon,TDS,477,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
24,Najafgarh Drain (N15),,,,post-monsoon,TDS,1360,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
25,Najafgarh Drain (N1),,,,pre-monsoon,TSS,1.5,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
26,Najafgarh Drain (N15),,,,pre-monsoon,TSS,227,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
27,Najafgarh Drain (N1),,,,post-monsoon,TSS,3.2,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
28,Najafgarh Drain (N15),,,,post-monsoon,TSS,84,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
29,Najafgarh Drain (N1),,,,pre-monsoon,DO,4.4,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
30,Najafgarh Drain (N15),,,,pre-monsoon,DO,ND,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
31,Najafgarh Drain (N1),,,,post-monsoon,DO,4.1,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
32,Najafgarh Drain (N15),,,,post-monsoon,DO,ND,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
33,Najafgarh Drain (N1),,,,pre-monsoon,BOD,5.8,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
34,Najafgarh Drain (N15),,,,pre-monsoon,BOD,60.4,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
35,Najafgarh Drain (N1),,,,post-monsoon,BOD,12.8,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
36,Najafgarh Drain (N15),,,,post-monsoon,BOD,44.8,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
37,Najafgarh Drain (N1),,,,pre-monsoon,COD,15,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
38,Najafgarh Drain (N15),,,,pre-monsoon,COD,250,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
39,Najafgarh Drain (N1),,,,post-monsoon,COD,30,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
40,Najafgarh Drain (N15),,,,post-monsoon,COD,168,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
41,Najafgarh Drain (N1),,,,pre-monsoon,NN,0.9,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
42,Najafgarh Drain (N15),,,,pre-monsoon,NN,9.6,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
43,Najafgarh Drain (N1),,,,post-monsoon,NN,0.3,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
44,Najafgarh Drain (N15),,,,post-monsoon,NN,0.6,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
45,Najafgarh Drain (N1),,,,pre-monsoon,PHOS,0.4,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
46,Najafgarh Drain (N15),,,,pre-monsoon,PHOS,2.5,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
47,Najafgarh Drain (N1),,,,post-monsoon,PHOS,0.2,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
48,Najafgarh Drain (N15),,,,post-monsoon,PHOS,2.9,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
49,Najafgarh Drain (N1),,,,pre-monsoon,TA,112.2,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
50,Najafgarh Drain (N15),,,,pre-monsoon,TA,555.1,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
51,Najafgarh Drain (N1),,,,post-monsoon,TA,141.5,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
52,Najafgarh Drain (N15),,,,post-monsoon,TA,431.9,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
53,Najafgarh Drain (N1),,,,pre-monsoon,Cl,222.6,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
54,Najafgarh Drain (N15),,,,pre-monsoon,Cl,357.4,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
55,Najafgarh Drain (N1),,,,post-monsoon,Cl,65,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
56,Najafgarh Drain (N15),,,,post-monsoon,Cl,304.9,,,mg/L,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
57,Najafgarh Drain (N1),,,,pre-monsoon,Na,144.41,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
58,Najafgarh Drain (N15),,,,pre-monsoon,Na,388.16,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
59,Najafgarh Drain (N1),,,,post-monsoon,Na,65.59,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
60,Najafgarh Drain (N15),,,,post-monsoon,Na,152.07,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
61,Najafgarh Drain (N1),,,,pre-monsoon,K,15.97,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
62,Najafgarh Drain (N15),,,,pre-monsoon,K,59.72,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
63,Najafgarh Drain (N1),,,,post-monsoon,K,7.82,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
64,Najafgarh Drain (N15),,,,post-monsoon,K,36.3,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
65,Najafgarh Drain (N1),,,,pre-monsoon,Cr,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
66,Najafgarh Drain (N15),,,,pre-monsoon,Cr,0.09,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
67,Najafgarh Drain (N1),,,,post-monsoon,Cr,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
68,Najafgarh Drain (N15),,,,post-monsoon,Cr,0.07,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
69,Najafgarh Drain (N1),,,,pre-monsoon,Pb,ND,,,ppm,"Vaid et al., 2022",Source Location: Table 3 | Source Quote: Exact table value | Extraction Issues: no issue
