Location,Sampling period,Parameter,Value,Unit,Statistic,Sample matrix,Source table,Notes
Overall,,Study Period,March 2021 – February 2022,,Metadata,,,
Overall,,Latitude,28°49′24.39″N and 28°31′50.99″ N,,Metadata,,,
Overall,,Longitude,77°13′39.92″ E and 77°20′36.8″ E,,Metadata,,,
"Upstream, Wazirabad",Summer,Number of PCs,4,,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Summer,Variance Explained Percent,84,%,Computed value,River water,PCA Results,
"Downstream, Okhla",Summer,Number of PCs,4,,Computed value,River water,PCA Results,
"Downstream, Okhla",Summer,Variance Explained Percent,80,%,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Monsoon,Number of PCs,4,,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Monsoon,Variance Explained Percent,68,%,Computed value,River water,PCA Results,
"Downstream, Okhla",Monsoon,Number of PCs,3,,Computed value,River water,PCA Results,
"Downstream, Okhla",Monsoon,Variance Explained Percent,78.8,%,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Post-monsoon,Number of PCs,4,,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Post-monsoon,Variance Explained Percent,82,%,Computed value,River water,PCA Results,
"Downstream, Okhla",Post-monsoon,Number of PCs,3,,Computed value,River water,PCA Results,
"Downstream, Okhla",Post-monsoon,Variance Explained Percent,83.9,%,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Winter,Number of PCs,3,,Computed value,River water,PCA Results,
"Upstream, Wazirabad",Winter,Variance Explained Percent,76.5,%,Computed value,River water,PCA Results,
"Downstream, Okhla",Winter,Number of PCs,2,,Computed value,River water,PCA Results,
"Downstream, Okhla",Winter,Variance Explained Percent,86.2,%,Computed value,River water,PCA Results,
"Upstream, Wazirabad",March,DO,7.87,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,Conductivity,1181.92,µS/cm,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,NO3,2.08,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,TOC,9.31,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,TSS,23.92,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,pH,7.99,,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,Temp,24.04,°C,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,NH4,1.2,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,Turbidity,10.38,NTU,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,BOD,4.96,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",March,COD,22.38,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,DO,4.64,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,Conductivity,674.92,µS/cm,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,NO3,1.52,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,TOC,23.61,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,TSS,76.95,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,pH,7.47,,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,Temp,26.31,°C,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,NH4,0.53,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,Turbidity,54.65,NTU,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,BOD,1.37,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",April,COD,64.09,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,DO,6.42,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,Conductivity,626.97,µS/cm,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,NO3,2.22,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,TOC,4.45,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,TSS,10.99,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,pH,7.36,,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,Temp,33.9,°C,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,NH4,0.87,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,Turbidity,15.5,NTU,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,BOD,6.65,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",June,COD,18.88,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,DO,6.65,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,Conductivity,384.8,µS/cm,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,NO3,1.47,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,TOC,8.3,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,TSS,29.05,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,pH,7.17,,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,Temp,30.55,°C,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,NH4,0.3,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,Turbidity,61.26,NTU,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,BOD,3.4,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",July,COD,33.05,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",August,DO,6.34,mg/L,Value,River water,Water Quality Timeseries,
"Upstream, Wazirabad",August,Conductivity,351.35,µS/cm,Value,River water,Water Quality Timeseries,
