Sr No.,Location,Date,Month,Year,Season,Parameter,Actual Value,Mean,Std Dev,Unit,Source,Notes/Extraction Remark
1,Overall,,,,,Study Period,March 2021 – February 2022,,,,,
2,Overall,,,,,Latitude,28°49′24.39″N and 28°31′50.99″ N,,,,,
3,Overall,,,,,Longitude,77°13′39.92″ E and 77°20′36.8″ E,,,,,
4,"Upstream, Wazirabad",,,,Summer,Number of PCs,4,,,,PCA Results,
5,"Upstream, Wazirabad",,,,Summer,Variance Explained Percent,84,,,%,PCA Results,
6,"Downstream, Okhla",,,,Summer,Number of PCs,4,,,,PCA Results,
7,"Downstream, Okhla",,,,Summer,Variance Explained Percent,80,,,%,PCA Results,
8,"Upstream, Wazirabad",,,,Monsoon,Number of PCs,4,,,,PCA Results,
9,"Upstream, Wazirabad",,,,Monsoon,Variance Explained Percent,68,,,%,PCA Results,
10,"Downstream, Okhla",,,,Monsoon,Number of PCs,3,,,,PCA Results,
11,"Downstream, Okhla",,,,Monsoon,Variance Explained Percent,78.8,,,%,PCA Results,
12,"Upstream, Wazirabad",,,,Post-monsoon,Number of PCs,4,,,,PCA Results,
13,"Upstream, Wazirabad",,,,Post-monsoon,Variance Explained Percent,82,,,%,PCA Results,
14,"Downstream, Okhla",,,,Post-monsoon,Number of PCs,3,,,,PCA Results,
15,"Downstream, Okhla",,,,Post-monsoon,Variance Explained Percent,83.9,,,%,PCA Results,
16,"Upstream, Wazirabad",,,,Winter,Number of PCs,3,,,,PCA Results,
17,"Upstream, Wazirabad",,,,Winter,Variance Explained Percent,76.5,,,%,PCA Results,
18,"Downstream, Okhla",,,,Winter,Number of PCs,2,,,,PCA Results,
19,"Downstream, Okhla",,,,Winter,Variance Explained Percent,86.2,,,%,PCA Results,
20,"Upstream, Wazirabad",,March,,,DO,7.87,,,mg/L,Water Quality Timeseries,
21,"Upstream, Wazirabad",,March,,,Conductivity,1181.92,,,µS/cm,Water Quality Timeseries,
22,"Upstream, Wazirabad",,March,,,NO3,2.08,,,mg/L,Water Quality Timeseries,
23,"Upstream, Wazirabad",,March,,,TOC,9.31,,,mg/L,Water Quality Timeseries,
24,"Upstream, Wazirabad",,March,,,TSS,23.92,,,mg/L,Water Quality Timeseries,
25,"Upstream, Wazirabad",,March,,,pH,7.99,,,,Water Quality Timeseries,
26,"Upstream, Wazirabad",,March,,,Temp,24.04,,,°C,Water Quality Timeseries,
27,"Upstream, Wazirabad",,March,,,NH4,1.2,,,mg/L,Water Quality Timeseries,
28,"Upstream, Wazirabad",,March,,,Turbidity,10.38,,,NTU,Water Quality Timeseries,
29,"Upstream, Wazirabad",,March,,,BOD,4.96,,,mg/L,Water Quality Timeseries,
30,"Upstream, Wazirabad",,March,,,COD,22.38,,,mg/L,Water Quality Timeseries,
31,"Upstream, Wazirabad",,April,,,DO,4.64,,,mg/L,Water Quality Timeseries,
32,"Upstream, Wazirabad",,April,,,Conductivity,674.92,,,µS/cm,Water Quality Timeseries,
33,"Upstream, Wazirabad",,April,,,NO3,1.52,,,mg/L,Water Quality Timeseries,
34,"Upstream, Wazirabad",,April,,,TOC,23.61,,,mg/L,Water Quality Timeseries,
35,"Upstream, Wazirabad",,April,,,TSS,76.95,,,mg/L,Water Quality Timeseries,
36,"Upstream, Wazirabad",,April,,,pH,7.47,,,,Water Quality Timeseries,
37,"Upstream, Wazirabad",,April,,,Temp,26.31,,,°C,Water Quality Timeseries,
38,"Upstream, Wazirabad",,April,,,NH4,0.53,,,mg/L,Water Quality Timeseries,
39,"Upstream, Wazirabad",,April,,,Turbidity,54.65,,,NTU,Water Quality Timeseries,
40,"Upstream, Wazirabad",,April,,,BOD,1.37,,,mg/L,Water Quality Timeseries,
41,"Upstream, Wazirabad",,April,,,COD,64.09,,,mg/L,Water Quality Timeseries,
42,"Upstream, Wazirabad",,June,,,DO,6.42,,,mg/L,Water Quality Timeseries,
43,"Upstream, Wazirabad",,June,,,Conductivity,626.97,,,µS/cm,Water Quality Timeseries,
